Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:05,91017,6,5
이스타항공,06:10,73051,6,10
이스타항공,06:15,67797,6,15
제주항공,06:15,67797,6,15
제주항공,06:25,67797,6,25
아시아나항공,06:25,91017,6,25
티웨이항공,06:40,82204,6,40
아시아나항공,06:40,91017,6,40
대한항공,06:40,98814,6,40
이스타항공,06:50,67797,6,50
에어부산,06:55,71356,6,55
티웨이항공,07:00,82204,7,0
티웨이항공,10:30,82204,10,30
대한항공,11:20,98814,11,20
이스타항공,11:50,82204,11,50
제주항공,12:40,82543,12,40
티웨이항공,12:50,82204,12,50
이스타항공,12:55,82204,12,55
대한항공,13:10,98814,13,10
이스타항공,13:15,79492,13,15
제주항공,13:15,82543,13,15
티웨이항공,13:20,82204,13,20
대한항공,13:20,98814,13,20
제주항공,13:30,77289,13,30
대한항공,13:50,98814,13,50
아시아나항공,14:00,94068,14,0
아시아나항공,14:05,91017,14,5
티웨이항공,14:05,73051,14,5
대한항공,14:20,98814,14,20
아시아나항공,14:25,91017,14,25
이스타항공,14:35,67797,14,35
티웨이항공,14:35,70000,14,35
제주항공,14:40,67797,14,40
에어부산,14:55,60170,14,55
아시아나항공,15:05,90170,15,5
티웨이항공,15:15,65594,15,15
아시아나항공,15:15,79662,15,15
대한항공,15:20,98814,15,20
제주항공,15:25,67797,15,25
이스타항공,15:40,79492,15,40
제주항공,15:45,63560,15,45
아시아나항공,15:45,79662,15,45
이스타항공,15:55,73051,15,55
아시아나항공,15:55,79662,15,55
대한항공,16:00,98814,16,0
제주항공,16:05,67797,16,5
이스타항공,16:35,82204,16,35
대한항공,16:40,98814,16,40
제주항공,16:55,67797,16,55
대한항공,17:10,98814,17,10
티웨이항공,17:25,65594,17,25
티웨이항공,17:40,65594,17,40
대한항공,17:40,98814,17,40
아시아나항공,17:50,78136,17,50
에어부산,18:10,60170,18,10
티웨이항공,18:10,70000,18,10
이스타항공,18:10,73051,18,10
제주항공,18:15,67797,18,15
대한항공,18:20,98814,18,20
아시아나항공,18:25,79662,18,25
이스타항공,18:35,67797,18,35
아시아나항공,18:45,90170,18,45
티웨이항공,18:50,65594,18,50
대한항공,18:50,98814,18,50
아시아나항공,18:55,90170,18,55
제주항공,19:05,67797,19,5
대한항공,19:10,98814,19,10
이스타항공,19:25,79492,19,25
제주항공,19:35,82543,19,35
이스타항공,19:45,82204,19,45
대한항공,20:30,98814,20,30
