Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
00:38,blank,06:55,05:55,05:45,05:45,10:45,05:45,05:45,05:45,05:45,05:55,05:55,06:55,05:55,06:55,06:55
00:50,blank,07:21,06:55,06:45,06:45,12:25,06:45,06:45,06:45,06:45,08:46,06:55,08:46,06:55,09:56,09:56
06:53,blank,08:20,07:21,06:55,07:21,18:55,07:21,07:45,07:21,07:21,10:35,08:46,14:25,08:46,16:30,16:30
07:20,blank,08:46,08:20,07:21,07:45,19:15,07:45,08:20,08:20,07:45,16:30,09:56,17:25,09:56,17:25,17:25
07:38,blank,09:56,09:20,07:45,08:20,20:45,08:20,09:20,09:20,08:20,18:20,10:35,18:20,10:35,19:26,19:26
07:47,blank,10:35,09:56,08:20,09:20,22:15,09:20,12:25,13:45,09:20,21:25,14:25,19:55,14:25,21:25,21:25
08:05,blank,15:45,10:35,08:46,10:45,blank,10:45,15:45,16:15,10:45,blank,16:30,blank,16:30,blank,blank
08:25,blank,18:55,10:45,09:56,12:25,blank,12:25,17:15,19:35,12:25,blank,17:25,blank,17:25,blank,blank
08:38,blank,19:26,12:25,10:35,13:45,blank,13:45,18:55,21:15,13:45,blank,18:20,blank,18:20,blank,blank
09:35,blank,20:45,18:20,13:45,15:45,blank,15:45,19:45,blank,15:45,blank,19:26,blank,19:26,blank,blank
09:35,blank,20:45,18:20,13:45,15:45,blank,15:45,19:45,blank,15:45,blank,19:26,blank,19:26,blank,blank
10:09,blank,blank,18:55,14:25,16:15,blank,16:15,20:45,blank,16:15,blank,19:55,blank,19:55,blank,blank
10:21,blank,blank,19:15,15:45,17:15,blank,17:15,blank,blank,17:15,blank,21:25,blank,21:25,blank,blank
11:10,blank,blank,20:45,17:15,18:55,blank,18:55,blank,blank,18:55,blank,23:15,blank,23:15,blank,blank
11:38,blank,blank,21:15,17:25,19:15,blank,19:15,blank,blank,19:15,blank,blank,blank,blank,blank,blank
11:49,blank,blank,21:25,19:26,19:35,blank,19:35,blank,blank,19:35,blank,blank,blank,blank,blank,blank
13:07,blank,blank,22:55,19:45,19:45,blank,19:45,blank,blank,19:45,blank,blank,blank,blank,blank,blank
14:18,blank,blank,23:15,19:55,20:45,blank,20:45,blank,blank,20:45,blank,blank,blank,blank,blank,blank
15:00,blank,blank,blank,20:45,21:15,blank,21:15,blank,blank,21:15,blank,blank,blank,blank,blank,blank
16:18,blank,blank,blank,22:55,22:15,blank,22:15,blank,blank,22:15,blank,blank,blank,blank,blank,blank
16:18,blank,blank,blank,22:55,22:15,blank,22:15,blank,blank,22:15,blank,blank,blank,blank,blank,blank
16:31,blank,blank,blank,blank,22:55,blank,22:55,blank,blank,22:55,blank,blank,blank,blank,blank,blank
16:51,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
17:17,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
17:56,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
18:04,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
18:11,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
18:52,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
19:01,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
19:46,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
19:46,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
20:10,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
20:30,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
21:08,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
21:18,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
21:50,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
22:03,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
22:17,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
23:04,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
