Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
07:13,07:13,08:03,06:23,07:03,06:23,blank,06:55,06:55,06:55,06:55,blank,blank,blank,blank,blank,blank
08:03,13:53,13:29,07:03,07:13,07:03,blank,07:37,07:56,07:37,07:37,blank,blank,blank,blank,blank,blank
08:33,15:23,blank,07:13,07:29,07:13,blank,07:37,11:03,07:56,07:56,blank,blank,blank,blank,blank,blank
11:49,16:48,blank,07:29,07:55,07:29,blank,07:56,13:31,11:03,08:15,blank,blank,blank,blank,blank,blank
13:29,18:43,blank,07:55,08:03,07:55,blank,08:15,14:26,11:58,08:55,blank,blank,blank,blank,blank,blank
13:53,19:23,blank,08:33,08:24,08:03,blank,08:55,17:20,16:17,10:39,blank,blank,blank,blank,blank,blank
15:23,blank,blank,09:03,08:24,08:13,blank,10:31,20:04,17:57,11:03,blank,blank,blank,blank,blank,blank
16:48,blank,blank,09:24,08:33,08:24,blank,10:39,22:00,18:25,11:51,blank,blank,blank,blank,blank,blank
18:43,blank,blank,11:49,09:03,08:24,blank,11:03,blank,19:21,11:58,blank,blank,blank,blank,blank,blank
19:23,blank,blank,13:13,12:12,08:33,blank,11:31,blank,20:56,13:31,blank,blank,blank,blank,blank,blank
19:23,blank,blank,13:13,12:12,08:33,blank,11:31,blank,20:56,13:31,blank,blank,blank,blank,blank,blank
21:28,blank,blank,13:22,13:13,09:03,blank,11:51,blank,blank,14:26,blank,blank,blank,blank,blank,blank
blank,blank,blank,13:29,13:36,09:24,blank,11:58,blank,blank,14:32,blank,blank,blank,blank,blank,blank
blank,blank,blank,15:13,13:36,10:03,blank,13:31,blank,blank,15:15,blank,blank,blank,blank,blank,blank
blank,blank,blank,15:23,13:53,11:40,blank,14:26,blank,blank,16:17,blank,blank,blank,blank,blank,blank
blank,blank,blank,16:48,14:53,11:49,blank,14:26,blank,blank,17:20,blank,blank,blank,blank,blank,blank
blank,blank,blank,17:40,15:13,12:12,blank,14:32,blank,blank,17:57,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:27,17:25,13:13,blank,15:15,blank,blank,18:25,blank,blank,blank,blank,blank,blank
blank,blank,blank,19:14,17:33,13:22,blank,15:59,blank,blank,19:21,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:28,19:14,13:29,blank,16:17,blank,blank,20:04,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:28,19:14,13:29,blank,16:17,blank,blank,20:04,blank,blank,blank,blank,blank,blank
blank,blank,blank,22:07,19:23,13:36,blank,17:20,blank,blank,20:13,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:27,19:48,13:36,blank,17:57,blank,blank,20:21,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,19:55,13:53,blank,18:25,blank,blank,20:56,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,21:35,14:53,blank,19:01,blank,blank,22:00,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,22:07,15:13,blank,19:01,blank,blank,22:36,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,22:14,15:23,blank,19:21,blank,blank,23:15,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,16:48,blank,20:04,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:25,blank,20:13,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:33,blank,20:21,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:33,blank,20:21,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:40,blank,20:56,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:27,blank,22:00,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:43,blank,22:36,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:14,blank,23:15,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:23,blank,23:30,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:48,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:55,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,20:33,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:28,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:28,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:35,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:07,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:14,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,23:27,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
