Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
05:38,05:38,06:38,05:38,05:38,blank,blank,blank,blank,blank,blank,06:25,04:52,blank,06:28,06:28,06:28
06:38,06:38,11:02,05:48,05:48,blank,blank,blank,blank,blank,blank,06:38,05:38,blank,06:38,07:24,06:38
08:18,08:18,14:07,06:38,06:25,blank,blank,blank,blank,blank,blank,08:08,05:48,blank,07:24,07:58,07:24
08:57,08:57,19:57,08:57,06:38,blank,blank,blank,blank,blank,blank,08:18,06:25,blank,07:58,08:13,07:58
11:02,14:58,22:19,09:23,08:08,blank,blank,blank,blank,blank,blank,11:43,06:36,blank,08:13,09:20,08:13
14:07,16:48,blank,09:23,08:18,blank,blank,blank,blank,blank,blank,14:47,06:38,blank,09:20,09:51,09:20
14:58,18:48,blank,11:02,09:23,blank,blank,blank,blank,blank,blank,14:58,07:02,blank,09:51,11:03,09:51
16:48,19:57,blank,11:43,09:23,blank,blank,blank,blank,blank,blank,15:20,08:08,blank,10:06,11:50,11:03
18:48,23:27,blank,14:07,13:53,blank,blank,blank,blank,blank,blank,16:48,08:18,blank,11:03,12:07,11:50
19:57,blank,blank,14:58,14:07,blank,blank,blank,blank,blank,blank,16:57,08:40,blank,11:50,12:21,12:07
19:57,blank,blank,14:58,14:07,blank,blank,blank,blank,blank,blank,16:57,08:40,blank,11:50,12:21,12:07
21:27,blank,blank,16:48,14:47,blank,blank,blank,blank,blank,blank,16:57,08:57,blank,12:07,14:03,12:21
22:19,blank,blank,16:57,16:48,blank,blank,blank,blank,blank,blank,18:48,09:23,blank,12:21,15:06,14:03
23:27,blank,blank,16:57,18:13,blank,blank,blank,blank,blank,blank,18:58,09:23,blank,14:03,15:14,14:09
blank,blank,blank,17:53,18:48,blank,blank,blank,blank,blank,blank,19:57,09:37,blank,14:09,17:23,14:09
blank,blank,blank,18:13,18:58,blank,blank,blank,blank,blank,blank,20:58,09:53,blank,14:09,18:22,15:06
blank,blank,blank,18:48,19:57,blank,blank,blank,blank,blank,blank,21:27,10:19,blank,15:06,18:34,15:14
blank,blank,blank,18:58,20:58,blank,blank,blank,blank,blank,blank,22:19,11:02,blank,15:14,19:13,16:35
blank,blank,blank,21:49,21:27,blank,blank,blank,blank,blank,blank,blank,11:15,blank,15:34,20:44,17:23
blank,blank,blank,23:27,21:49,blank,blank,blank,blank,blank,blank,blank,11:43,blank,16:35,21:14,18:22
blank,blank,blank,23:27,21:49,blank,blank,blank,blank,blank,blank,blank,11:43,blank,16:35,21:14,18:22
blank,blank,blank,blank,22:19,blank,blank,blank,blank,blank,blank,blank,12:30,blank,17:23,22:02,18:34
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,13:14,blank,18:22,22:09,19:13
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,13:53,blank,18:34,22:09,20:44
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:07,blank,19:13,23:59,21:14
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:23,blank,19:38,blank,22:02
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:47,blank,20:11,blank,22:09
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:58,blank,20:44,blank,22:09
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,15:20,blank,21:04,blank,23:59
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,15:50,blank,21:14,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,15:50,blank,21:14,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:48,blank,22:02,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:57,blank,22:09,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:57,blank,22:09,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:29,blank,23:45,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:53,blank,23:59,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,18:13,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,18:15,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,18:48,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,18:58,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,18:58,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:21,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:42,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:57,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:58,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:01,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:27,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,21:49,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:05,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:19,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:19,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:27,blank,blank,blank,blank
