Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
05:23,05:23,05:23,05:23,06:08,05:23,05:33,05:23,06:33,blank,07:29,blank,blank,blank,blank,blank,blank
06:23,06:23,09:38,05:33,06:23,05:33,06:23,05:33,06:53,blank,07:43,blank,blank,blank,blank,blank,blank
07:43,08:23,12:33,06:08,06:33,06:08,06:33,06:08,07:53,blank,07:55,blank,blank,blank,blank,blank,blank
08:23,11:09,14:48,06:23,06:53,06:23,07:23,06:23,08:23,blank,08:14,blank,blank,blank,blank,blank,blank
08:53,14:33,16:23,06:33,07:43,06:33,07:43,06:33,09:03,blank,08:31,blank,blank,blank,blank,blank,blank
09:38,14:48,16:58,07:43,08:13,06:53,08:13,06:53,10:38,blank,08:43,blank,blank,blank,blank,blank,blank
10:53,16:58,19:53,07:53,08:23,07:23,08:34,07:23,10:53,blank,08:54,blank,blank,blank,blank,blank,blank
11:09,17:53,20:53,08:13,09:03,07:43,10:53,07:43,12:33,blank,09:19,blank,blank,blank,blank,blank,blank
12:33,18:33,blank,08:34,09:29,07:53,11:23,07:53,12:53,blank,09:26,blank,blank,blank,blank,blank,blank
13:53,19:53,blank,08:53,09:38,08:13,12:23,08:13,14:48,blank,10:04,blank,blank,blank,blank,blank,blank
13:53,19:53,blank,08:53,09:38,08:13,12:23,08:13,14:48,blank,10:04,blank,blank,blank,blank,blank,blank
14:33,21:13,blank,09:29,10:38,08:23,12:33,08:23,15:03,blank,10:15,blank,blank,blank,blank,blank,blank
14:48,22:53,blank,10:53,11:09,08:34,14:23,08:34,16:23,blank,10:30,blank,blank,blank,blank,blank,blank
15:53,blank,blank,11:09,11:23,08:44,14:33,08:44,16:58,blank,11:19,blank,blank,blank,blank,blank,blank
16:23,blank,blank,12:23,12:23,08:53,17:53,08:53,17:08,blank,12:02,blank,blank,blank,blank,blank,blank
16:58,blank,blank,12:33,12:53,09:03,18:24,09:03,17:43,blank,12:09,blank,blank,blank,blank,blank,blank
17:53,blank,blank,13:33,13:33,09:29,18:33,09:29,18:09,blank,12:20,blank,blank,blank,blank,blank,blank
18:33,blank,blank,13:53,14:23,09:38,18:53,09:38,18:53,blank,12:52,blank,blank,blank,blank,blank,blank
19:53,blank,blank,14:23,14:48,10:13,19:38,10:13,19:38,blank,13:04,blank,blank,blank,blank,blank,blank
20:53,blank,blank,14:33,15:53,10:38,21:24,10:38,20:28,blank,13:11,blank,blank,blank,blank,blank,blank
20:53,blank,blank,14:33,15:53,10:38,21:24,10:38,20:28,blank,13:11,blank,blank,blank,blank,blank,blank
21:13,blank,blank,16:08,16:23,10:53,22:38,10:53,20:53,blank,13:20,blank,blank,blank,blank,blank,blank
21:43,blank,blank,16:23,17:23,11:09,blank,11:09,21:03,blank,14:20,blank,blank,blank,blank,blank,blank
22:53,blank,blank,16:58,18:24,11:23,blank,11:23,21:53,blank,14:37,blank,blank,blank,blank,blank,blank
23:23,blank,blank,17:08,18:33,12:23,blank,12:23,22:53,blank,14:44,blank,blank,blank,blank,blank,blank
blank,blank,blank,17:23,18:53,12:33,blank,12:33,blank,blank,15:38,blank,blank,blank,blank,blank,blank
blank,blank,blank,17:43,19:23,12:53,blank,12:53,blank,blank,15:49,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:24,20:53,13:33,blank,13:33,blank,blank,16:28,blank,blank,blank,blank,blank,blank
blank,blank,blank,19:53,21:24,13:53,blank,13:53,blank,blank,16:49,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:28,22:53,14:23,blank,14:23,blank,blank,17:11,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:28,22:53,14:23,blank,14:23,blank,blank,17:11,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:03,blank,14:33,blank,14:33,blank,blank,17:19,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:13,blank,14:48,blank,14:48,blank,blank,17:53,blank,blank,blank,blank,blank,blank
blank,blank,blank,22:38,blank,15:03,blank,15:03,blank,blank,18:02,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:13,blank,15:47,blank,15:47,blank,blank,18:40,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,15:53,blank,15:53,blank,blank,18:50,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,16:08,blank,16:08,blank,blank,19:02,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,16:23,blank,16:23,blank,blank,19:19,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,16:58,blank,16:58,blank,blank,19:29,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:08,blank,17:08,blank,blank,19:45,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:08,blank,17:08,blank,blank,19:45,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:23,blank,17:23,blank,blank,20:07,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:43,blank,17:43,blank,blank,20:13,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:53,blank,17:53,blank,blank,20:27,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:09,blank,18:09,blank,blank,20:37,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:24,blank,18:24,blank,blank,20:51,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:33,blank,18:33,blank,blank,21:17,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:53,blank,18:53,blank,blank,21:25,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:23,blank,19:23,blank,blank,21:32,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:38,blank,19:38,blank,blank,21:48,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:38,blank,19:38,blank,blank,21:48,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:53,blank,19:53,blank,blank,22:03,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,20:28,blank,20:28,blank,blank,22:17,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,20:53,blank,20:53,blank,blank,23:06,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:03,blank,21:03,blank,blank,23:14,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:13,blank,21:13,blank,blank,23:36,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:24,blank,21:24,blank,blank,23:49,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:43,blank,21:43,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:53,blank,21:53,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:38,blank,22:38,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:38,blank,22:38,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:53,blank,22:53,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,23:13,blank,23:13,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,23:23,blank,23:23,blank,blank,blank,blank,blank,blank,blank,blank,blank
