Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
6,32,6,32,6,32,5,55,5,55,100,100,6,32,5,27,6,12,6,12,5,27,100,100,100,100,100,100,100,100,100,100,100,100
7,0,7,0,7,0,6,32,6,5,100,100,7,13,6,1,6,26,6,26,6,12,100,100,100,100,100,100,100,100,100,100,100,100
7,38,7,38,8,28,6,37,6,37,100,100,7,13,6,12,6,32,6,32,6,25,100,100,100,100,100,100,100,100,100,100,100,100
8,28,9,38,9,13,6,47,6,53,100,100,7,33,6,25,7,26,7,3,6,26,100,100,100,100,100,100,100,100,100,100,100,100
8,58,10,33,10,47,7,17,6,54,100,100,7,52,6,26,7,33,7,13,6,32,100,100,100,100,100,100,100,100,100,100,100,100
9,13,11,12,11,42,7,28,7,0,100,100,8,32,6,32,8,26,7,26,6,57,100,100,100,100,100,100,100,100,100,100,100,100
9,38,12,19,13,53,7,38,7,17,100,100,10,8,6,48,9,0,7,33,7,3,100,100,100,100,100,100,100,100,100,100,100,100
10,2,14,18,15,7,7,54,7,28,100,100,10,16,6,48,9,13,8,8,7,12,100,100,100,100,100,100,100,100,100,100,100,100
10,33,15,48,16,2,8,20,7,38,100,100,10,40,6,57,10,2,8,14,7,13,100,100,100,100,100,100,100,100,100,100,100,100
10,47,16,2,17,38,8,58,7,47,100,100,11,8,7,3,10,40,8,54,7,26,100,100,100,100,100,100,100,100,100,100,100,100
10,47,16,2,17,38,8,58,7,47,100,100,11,8,7,3,10,40,8,54,7,26,100,100,100,100,100,100,100,100,100,100,100,100
11,12,17,12,18,13,9,8,7,54,100,100,11,28,7,12,11,3,9,0,7,33,100,100,100,100,100,100,100,100,100,100,100,100
11,42,17,22,19,13,9,13,8,7,100,100,11,35,7,13,11,47,9,13,7,52,100,100,100,100,100,100,100,100,100,100,100,100
12,14,18,13,21,3,9,28,8,20,100,100,13,8,7,13,12,3,10,2,7,58,100,100,100,100,100,100,100,100,100,100,100,100
12,19,19,8,21,28,9,48,8,28,100,100,14,3,7,26,13,3,10,40,8,5,100,100,100,100,100,100,100,100,100,100,100,100
13,53,19,47,22,8,10,2,8,45,100,100,14,3,7,33,13,8,10,58,8,8,100,100,100,100,100,100,100,100,100,100,100,100
14,18,20,26,100,100,10,38,8,49,100,100,14,9,7,47,13,57,11,3,8,14,100,100,100,100,100,100,100,100,100,100,100,100
14,35,21,3,100,100,11,27,8,49,100,100,14,52,7,52,14,3,11,35,8,26,100,100,100,100,100,100,100,100,100,100,100,100
15,2,21,28,100,100,11,33,8,58,100,100,15,36,7,58,14,33,11,47,8,32,100,100,100,100,100,100,100,100,100,100,100,100
15,7,22,22,100,100,12,14,9,13,100,100,15,54,8,5,15,32,11,59,8,38,100,100,100,100,100,100,100,100,100,100,100,100
15,7,22,22,100,100,12,14,9,13,100,100,15,54,8,5,15,32,11,59,8,38,100,100,100,100,100,100,100,100,100,100,100,100
15,48,100,100,100,100,12,19,9,28,100,100,16,57,8,8,15,49,12,3,8,48,100,100,100,100,100,100,100,100,100,100,100,100
16,2,100,100,100,100,12,27,9,38,100,100,17,34,8,14,16,32,13,3,8,54,100,100,100,100,100,100,100,100,100,100,100,100
16,26,100,100,100,100,12,27,10,11,100,100,18,2,8,26,16,57,13,26,9,0,100,100,100,100,100,100,100,100,100,100,100,100
17,2,100,100,100,100,13,38,10,18,100,100,18,37,8,32,17,12,13,33,9,13,100,100,100,100,100,100,100,100,100,100,100,100
17,12,100,100,100,100,13,47,10,38,100,100,18,37,8,38,17,57,14,28,9,16,100,100,100,100,100,100,100,100,100,100,100,100
17,22,100,100,100,100,13,53,10,47,100,100,18,58,8,48,18,28,14,33,9,40,100,100,100,100,100,100,100,100,100,100,100,100
17,38,100,100,100,100,14,29,11,33,100,100,19,41,8,54,18,52,15,19,9,45,100,100,100,100,100,100,100,100,100,100,100,100
18,13,100,100,100,100,14,35,11,42,100,100,19,50,8,55,19,34,15,32,9,52,100,100,100,100,100,100,100,100,100,100,100,100
19,8,100,100,100,100,14,42,11,53,100,100,19,58,9,0,19,41,15,54,10,2,100,100,100,100,100,100,100,100,100,100,100,100
19,8,100,100,100,100,14,42,11,53,100,100,19,58,9,0,19,41,15,54,10,2,100,100,100,100,100,100,100,100,100,100,100,100
19,13,100,100,100,100,14,54,11,55,100,100,20,33,9,2,20,28,16,8,10,13,100,100,100,100,100,100,100,100,100,100,100,100
19,47,100,100,100,100,15,2,12,19,100,100,21,37,9,13,20,43,16,42,10,16,100,100,100,100,100,100,100,100,100,100,100,100
20,26,100,100,100,100,15,24,12,36,100,100,22,13,9,16,20,58,16,51,10,40,100,100,100,100,100,100,100,100,100,100,100,100
21,3,100,100,100,100,15,24,13,38,100,100,22,52,9,19,21,37,17,29,10,50,100,100,100,100,100,100,100,100,100,100,100,100
21,28,100,100,100,100,15,38,14,1,100,100,23,7,9,28,22,32,17,34,10,58,100,100,100,100,100,100,100,100,100,100,100,100
21,53,100,100,100,100,15,48,14,1,100,100,100,100,9,40,22,46,17,52,11,2,100,100,100,100,100,100,100,100,100,100,100,100
22,8,100,100,100,100,17,12,14,7,100,100,100,100,9,45,100,100,18,2,11,3,100,100,100,100,100,100,100,100,100,100,100,100
22,22,100,100,100,100,17,17,14,18,100,100,100,100,9,52,100,100,18,18,11,21,100,100,100,100,100,100,100,100,100,100,100,100
22,52,100,100,100,100,17,22,14,42,100,100,100,100,10,2,100,100,18,28,11,28,100,100,100,100,100,100,100,100,100,100,100,100
22,52,100,100,100,100,17,22,14,42,100,100,100,100,10,2,100,100,18,28,11,28,100,100,100,100,100,100,100,100,100,100,100,100
23,23,100,100,100,100,17,31,14,54,100,100,100,100,10,8,100,100,18,52,11,35,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,17,38,15,7,100,100,100,100,10,13,100,100,18,58,11,47,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,5,15,12,100,100,100,100,10,16,100,100,19,17,11,59,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,13,15,18,100,100,100,100,10,28,100,100,19,26,12,3,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,22,15,24,100,100,100,100,10,28,100,100,19,34,12,7,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,32,15,24,100,100,100,100,10,39,100,100,20,8,12,50,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,40,15,38,100,100,100,100,10,40,100,100,20,14,13,3,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,52,15,53,100,100,100,100,10,50,100,100,20,20,13,8,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,57,16,2,100,100,100,100,10,58,100,100,20,33,13,18,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,57,16,2,100,100,100,100,10,58,100,100,20,33,13,18,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,13,17,2,100,100,100,100,11,2,100,100,20,53,13,26,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,18,17,31,100,100,100,100,11,3,100,100,21,8,13,33,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,39,17,38,100,100,100,100,11,8,100,100,21,56,13,34,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,43,17,50,100,100,100,100,11,21,100,100,22,3,13,44,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,43,17,53,100,100,100,100,11,28,100,100,22,25,13,57,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,3,17,58,100,100,100,100,11,35,100,100,22,32,14,3,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,11,18,32,100,100,100,100,11,47,100,100,23,2,14,9,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,17,18,40,100,100,100,100,11,53,100,100,23,33,14,23,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,42,18,44,100,100,100,100,11,59,100,100,100,100,14,28,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,42,18,44,100,100,100,100,11,59,100,100,100,100,14,28,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,53,19,13,100,100,100,100,12,3,100,100,100,100,14,33,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,17,19,18,100,100,100,100,12,7,100,100,100,100,14,46,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,22,19,39,100,100,100,100,12,44,100,100,100,100,14,52,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,31,19,47,100,100,100,100,12,50,100,100,100,100,15,2,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,23,1,20,12,100,100,100,100,13,3,100,100,100,100,15,13,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,23,1,20,15,100,100,100,100,13,8,100,100,100,100,15,14,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,23,51,20,20,100,100,100,100,13,18,100,100,100,100,15,19,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,23,56,20,26,100,100,100,100,13,26,100,100,100,100,15,32,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,20,33,100,100,100,100,13,33,100,100,100,100,15,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,20,33,100,100,100,100,13,33,100,100,100,100,15,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,20,43,100,100,100,100,13,34,100,100,100,100,15,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,20,43,100,100,100,100,13,38,100,100,100,100,15,54,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,21,28,100,100,100,100,13,44,100,100,100,100,16,8,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,21,40,100,100,100,100,13,52,100,100,100,100,16,29,100,100,100,100,100,100,100,100,100,100,100,100
