Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
5,38,5,38,6,38,5,38,5,38,100,100,100,100,100,100,100,100,100,100,100,100,6,25,4,52,100,100,6,28,6,28,6,28
6,38,6,38,11,2,5,48,5,48,100,100,100,100,100,100,100,100,100,100,100,100,6,38,5,38,100,100,6,38,7,24,6,38
8,18,8,18,14,7,6,38,6,25,100,100,100,100,100,100,100,100,100,100,100,100,8,8,5,48,100,100,7,24,7,58,7,24
8,57,8,57,19,57,8,57,6,38,100,100,100,100,100,100,100,100,100,100,100,100,8,18,6,25,100,100,7,58,8,13,7,58
11,2,14,58,22,19,9,23,8,8,100,100,100,100,100,100,100,100,100,100,100,100,11,43,6,36,100,100,8,13,9,20,8,13
14,7,16,48,100,100,9,23,8,18,100,100,100,100,100,100,100,100,100,100,100,100,14,47,6,38,100,100,9,20,9,51,9,20
14,58,18,48,100,100,11,2,9,23,100,100,100,100,100,100,100,100,100,100,100,100,14,58,7,2,100,100,9,51,11,3,9,51
16,48,19,57,100,100,11,43,9,23,100,100,100,100,100,100,100,100,100,100,100,100,15,20,8,8,100,100,10,6,11,50,11,3
18,48,23,27,100,100,14,7,13,53,100,100,100,100,100,100,100,100,100,100,100,100,16,48,8,18,100,100,11,3,12,7,11,50
19,57,100,100,100,100,14,58,14,7,100,100,100,100,100,100,100,100,100,100,100,100,16,57,8,40,100,100,11,50,12,21,12,7
19,57,100,100,100,100,14,58,14,7,100,100,100,100,100,100,100,100,100,100,100,100,16,57,8,40,100,100,11,50,12,21,12,7
21,27,100,100,100,100,16,48,14,47,100,100,100,100,100,100,100,100,100,100,100,100,16,57,8,57,100,100,12,7,14,3,12,21
22,19,100,100,100,100,16,57,16,48,100,100,100,100,100,100,100,100,100,100,100,100,18,48,9,23,100,100,12,21,15,6,14,3
23,27,100,100,100,100,16,57,18,13,100,100,100,100,100,100,100,100,100,100,100,100,18,58,9,23,100,100,14,3,15,14,14,9
100,100,100,100,100,100,17,53,18,48,100,100,100,100,100,100,100,100,100,100,100,100,19,57,9,37,100,100,14,9,17,23,14,9
100,100,100,100,100,100,18,13,18,58,100,100,100,100,100,100,100,100,100,100,100,100,20,58,9,53,100,100,14,9,18,22,15,6
100,100,100,100,100,100,18,48,19,57,100,100,100,100,100,100,100,100,100,100,100,100,21,27,10,19,100,100,15,6,18,34,15,14
100,100,100,100,100,100,18,58,20,58,100,100,100,100,100,100,100,100,100,100,100,100,22,19,11,2,100,100,15,14,19,13,16,35
100,100,100,100,100,100,21,49,21,27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,15,100,100,15,34,20,44,17,23
100,100,100,100,100,100,23,27,21,49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,43,100,100,16,35,21,14,18,22
100,100,100,100,100,100,23,27,21,49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,43,100,100,16,35,21,14,18,22
100,100,100,100,100,100,100,100,22,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,30,100,100,17,23,22,2,18,34
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,14,100,100,18,22,22,9,19,13
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,53,100,100,18,34,22,9,20,44
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,7,100,100,19,13,23,59,21,14
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,23,100,100,19,38,100,100,22,2
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,47,100,100,20,11,100,100,22,9
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,58,100,100,20,44,100,100,22,9
