Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,SRT,무궁화호,무궁화호,KTX,blank,KTX,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,무궁화호,KTX,blank,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,SRT,SRT,blank,KTX,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,KTX,KTX,blank,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,KTX,KTX,blank,KTX,KTX-산천,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,SRT,SRT,blank,SRT,SRT,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,KTX-산천,KTX,blank,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,KTX-산천,KTX-산천,blank,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,KTX,KTX-산천,blank,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,무궁화호,SRT,blank,KTX-산천,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,무궁화호,SRT,blank,KTX-산천,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX-산천,KTX,KTX,blank,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX-산천,SRT,KTX,blank,SRT,SRT,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,KTX,KTX,blank,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,무궁화호,KTX-산천,blank,KTX,KTX-산천,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,KTX,SRT,blank,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,SRT,KTX,KTX,blank,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,KTX,ITX-새마을,KTX,blank,KTX-산천,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,KTX,SRT,KTX-산천,blank,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX-산천,KTX,KTX,SRT,blank,KTX-산천,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX-산천,KTX,KTX,SRT,blank,KTX-산천,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX-산천,SRT,KTX-산천,KTX-산천,blank,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,KTX-산천,KTX-산천,blank,SRT,KTX,ITX-새마을,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,SRT,무궁화호,SRT,blank,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,SRT,KTX,blank,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,KTX,KTX,blank,SRT,SRT,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,SRT,SRT,blank,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,무궁화호,SRT,blank,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX-산천,KTX,KTX-산천,blank,KTX,KTX-산천,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX-산천,무궁화호,KTX,blank,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX-산천,무궁화호,KTX,blank,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX-산천,SRT,KTX,blank,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,KTX,KTX,blank,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,KTX,SRT,blank,KTX,SRT,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,SRT,KTX,blank,SRT,KTX,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,무궁화호,SRT,blank,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,KTX,KTX,blank,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,KTX,KTX-산천,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX-산천,KTX,KTX,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX-산천,SRT,SRT,blank,blank,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX-산천,SRT,SRT,blank,blank,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX-산천,KTX,KTX-산천,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,SRT,KTX-산천,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,KTX,KTX,blank,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,KTX-산천,KTX,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,KTX-산천,blank,blank,blank,KTX,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,ITX-새마을,blank,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,SRT,SRT,blank,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX-산천,KTX,blank,blank,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,KTX,blank,blank,blank,KTX,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,KTX,blank,blank,blank,KTX,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,KTX,blank,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX,ITX-새마을,blank,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,무궁화호,SRT,blank,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,SRT,무궁화호,blank,blank,blank,KTX,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,KTX,blank,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,KTX-산천,blank,blank,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,SRT,blank,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,무궁화호,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,SRT,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,SRT,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,SRT,KTX-산천,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX,KTX-산천,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX-산천,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX-산천,무궁화호,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,무궁화호,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,ITX-새마을,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,SRT,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,SRT,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX-산천,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,KTX-산천,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,무궁화호,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,SRT,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
