Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,KTX,KTX,KTX,blank,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,KTX,blank,KTX-산천,KTX,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,KTX,SRT,blank,KTX-산천,KTX-산천,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,KTX,KTX,blank,KTX,SRT,KTX-산천,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,SRT,KTX,blank,SRT,KTX-산천,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,KTX-산천,SRT,blank,KTX,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX-산천,KTX,blank,KTX,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,KTX-산천,blank,SRT,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,KTX-산천,blank,KTX-산천,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,SRT,blank,KTX,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,SRT,blank,KTX,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,KTX,blank,SRT,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX-산천,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,KTX,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,SRT,KTX-산천,blank,KTX-산천,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,SRT,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,KTX-산천,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,SRT,KTX-산천,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,KTX-산천,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,SRT,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,KTX,blank,KTX-산천,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,KTX,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,SRT,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
