Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,SRT,blank,SRT,SRT
SRT,SRT,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX,KTX,blank,무궁화호,KTX-산천
SRT,SRT,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,KTX-산천,blank,KTX-산천,무궁화호
SRT,SRT,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,SRT,SRT,SRT,blank,KTX,KTX-산천
SRT,SRT,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX,KTX,blank,SRT,KTX
SRT,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX,SRT,SRT,blank,KTX-산천,SRT
SRT,SRT,SRT,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,KTX,무궁화호,blank,KTX,KTX-산천
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,SRT,SRT,blank,SRT,KTX
SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,무궁화호,KTX-산천,blank,무궁화호,SRT
SRT,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,SRT,SRT,KTX-산천,blank,무궁화호,무궁화호
SRT,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,SRT,SRT,KTX-산천,blank,무궁화호,무궁화호
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,KTX-산천,blank,KTX-산천,무궁화호
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,무궁화호,blank,KTX,KTX-산천
SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,SRT,무궁화호,SRT,blank,SRT,KTX
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,KTX,blank,KTX-산천,SRT
SRT,SRT,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,SRT,SRT,ITX-새마을,blank,ITX-새마을,KTX-산천
SRT,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,SRT,KTX,무궁화호,blank,SRT,KTX-산천
SRT,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,KTX,blank,KTX-산천,KTX-산천
SRT,blank,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,KTX,KTX,SRT,blank,무궁화호,ITX-새마을
SRT,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,SRT,SRT,KTX,blank,KTX,SRT
SRT,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,SRT,SRT,KTX,blank,KTX,SRT
SRT,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX,SRT,blank,SRT,KTX-산천
blank,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,blank,무궁화호,무궁화호
blank,blank,blank,KTX,SRT,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,SRT,blank,KTX-산천,KTX
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,blank,무궁화호,KTX-산천,blank,SRT,KTX
blank,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,blank,KTX-산천,SRT
blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,KTX,무궁화호,blank,KTX,무궁화호
blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,blank,무궁화호,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,ITX-새마을,blank,SRT,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,blank,무궁화호,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,blank,무궁화호,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,blank,KTX,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,KTX,blank,KTX-산천,무궁화호
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,KTX,blank,KTX-산천,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,blank,ITX-새마을,무궁화호
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,무궁화호,blank,SRT,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,KTX-산천,blank,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,SRT,blank,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,blank,blank,ITX-새마을
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,SRT,blank,blank,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,SRT,blank,blank,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,무궁화호,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,blank,blank
