Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,SRT,KTX,SRT,KTX,SRT,KTX,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,KTX,SRT,KTX,KTX,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,KTX,KTX,KTX,KTX,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,SRT,KTX,SRT,SRT,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,KTX,SRT,KTX,KTX,blank,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,KTX,KTX,KTX,KTX,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,KTX,KTX,KTX,SRT,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,SRT,SRT,SRT,SRT,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,KTX,KTX,KTX,KTX,KTX,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,KTX,KTX,KTX,SRT,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,KTX,KTX,KTX,SRT,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,KTX,SRT,SRT,SRT,KTX,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,KTX,KTX,KTX,SRT,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,KTX,SRT,KTX,SRT,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,SRT,SRT,SRT,KTX,blank,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,KTX,KTX,KTX,KTX-산천,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,KTX,SRT,KTX,KTX,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,SRT,KTX,SRT,KTX,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,KTX,KTX,KTX,KTX,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,KTX,KTX,KTX,KTX,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,KTX,KTX,KTX,KTX,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,SRT,KTX,SRT,SRT,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,SRT,blank,SRT,KTX,blank,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,KTX,blank,KTX,KTX,blank,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,KTX,blank,KTX,SRT,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,SRT,blank,SRT,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,blank,SRT,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,blank,SRT,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
