Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
00:20,00:20,06:57,blank,00:08,00:08,06:08,06:08,06:08,06:08,06:08,06:13,06:13,06:27,06:13,06:27,06:27
06:35,06:35,07:42,blank,06:18,06:08,06:44,06:18,08:43,06:38,06:33,07:52,06:27,07:17,06:27,07:17,07:17
06:57,06:57,08:15,blank,06:18,06:18,06:44,06:18,09:38,06:44,06:38,10:33,06:53,08:54,07:17,08:54,08:54
07:42,07:42,09:43,blank,06:27,06:18,07:28,06:33,10:39,07:38,06:44,10:57,07:17,10:07,08:54,10:07,10:07
08:08,08:08,11:57,blank,06:44,06:33,09:44,06:38,11:18,07:44,07:28,11:33,07:52,11:28,10:07,10:19,10:19
08:15,08:15,14:18,blank,06:44,06:38,10:43,06:44,11:39,08:43,07:38,12:48,08:54,14:13,10:19,11:28,11:28
09:28,09:51,15:05,blank,06:53,06:44,11:03,06:44,12:39,09:38,07:44,12:57,10:07,14:13,10:57,12:57,12:57
09:43,12:49,18:07,blank,07:17,06:44,11:06,07:23,12:43,10:28,08:43,12:57,10:19,15:32,11:28,14:13,14:13
09:51,16:01,18:39,blank,07:34,07:23,12:43,07:28,13:32,10:39,09:38,15:32,10:33,17:22,12:48,14:13,14:13
10:27,16:13,19:43,blank,07:38,07:28,13:45,07:38,14:09,11:06,10:24,15:52,10:47,18:39,12:57,17:22,15:32
10:27,16:13,19:43,blank,07:38,07:28,13:45,07:38,14:09,11:06,10:24,15:52,10:47,18:39,12:57,17:22,15:32
11:57,17:37,21:28,blank,07:44,07:38,15:12,07:44,15:09,11:18,10:28,17:22,10:57,19:12,14:13,21:12,17:22
12:39,17:47,blank,blank,07:52,07:44,15:28,08:43,18:04,11:39,10:39,17:22,11:28,21:12,14:13,21:12,21:12
12:49,17:52,blank,blank,08:43,08:43,18:34,08:50,18:28,12:39,10:51,18:39,11:33,21:12,15:32,21:44,21:12
