Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
00:08,00:08,06:32,00:22,00:08,blank,00:08,00:08,06:12,06:12,05:27,blank,blank,blank,blank,blank,blank
00:32,06:32,07:00,05:55,05:55,blank,06:32,05:27,06:26,06:26,06:12,blank,blank,blank,blank,blank,blank
06:32,07:00,08:28,06:32,06:05,blank,07:13,06:01,06:32,06:32,06:25,blank,blank,blank,blank,blank,blank
07:00,07:38,09:13,06:37,06:37,blank,07:13,06:12,07:26,07:03,06:26,blank,blank,blank,blank,blank,blank
07:38,09:38,10:47,06:47,06:53,blank,07:33,06:25,07:33,07:13,06:32,blank,blank,blank,blank,blank,blank
08:28,10:33,11:42,07:17,06:54,blank,07:52,06:26,08:26,07:26,06:57,blank,blank,blank,blank,blank,blank
08:58,11:12,13:53,07:28,07:00,blank,08:32,06:32,09:00,07:33,07:03,blank,blank,blank,blank,blank,blank
09:13,12:19,15:07,07:38,07:17,blank,10:08,06:48,09:13,08:08,07:12,blank,blank,blank,blank,blank,blank
09:38,14:18,16:02,07:54,07:28,blank,10:16,06:48,10:02,08:14,07:13,blank,blank,blank,blank,blank,blank
10:02,15:48,17:38,08:20,07:38,blank,10:40,06:57,10:40,08:54,07:26,blank,blank,blank,blank,blank,blank
10:02,15:48,17:38,08:20,07:38,blank,10:40,06:57,10:40,08:54,07:26,blank,blank,blank,blank,blank,blank
10:33,16:02,18:13,08:58,07:47,blank,11:08,07:03,11:03,09:00,07:33,blank,blank,blank,blank,blank,blank
10:47,17:12,19:13,09:08,07:54,blank,11:28,07:12,11:47,09:13,07:52,blank,blank,blank,blank,blank,blank
11:12,17:22,21:03,09:13,08:07,blank,11:35,07:13,12:03,10:02,07:58,blank,blank,blank,blank,blank,blank
11:42,18:13,21:28,09:28,08:20,blank,13:08,07:13,13:03,10:40,08:05,blank,blank,blank,blank,blank,blank
12:14,19:08,22:08,09:48,08:28,blank,14:03,07:26,13:08,10:58,08:08,blank,blank,blank,blank,blank,blank
12:19,19:47,blank,10:02,08:45,blank,14:03,07:33,13:57,11:03,08:14,blank,blank,blank,blank,blank,blank
13:53,20:26,blank,10:38,08:49,blank,14:09,07:47,14:03,11:35,08:26,blank,blank,blank,blank,blank,blank
14:18,21:03,blank,11:27,08:49,blank,14:52,07:52,14:33,11:47,08:32,blank,blank,blank,blank,blank,blank
14:35,21:28,blank,11:33,08:58,blank,15:36,07:58,15:32,11:59,08:38,blank,blank,blank,blank,blank,blank
14:35,21:28,blank,11:33,08:58,blank,15:36,07:58,15:32,11:59,08:38,blank,blank,blank,blank,blank,blank
15:02,22:22,blank,12:14,09:13,blank,15:54,08:05,15:49,12:03,08:48,blank,blank,blank,blank,blank,blank
15:07,blank,blank,12:19,09:28,blank,16:57,08:08,16:32,13:03,08:54,blank,blank,blank,blank,blank,blank
15:48,blank,blank,12:27,09:38,blank,17:34,08:14,16:57,13:26,09:00,blank,blank,blank,blank,blank,blank
16:02,blank,blank,12:27,10:11,blank,18:02,08:26,17:12,13:33,09:13,blank,blank,blank,blank,blank,blank
16:26,blank,blank,13:38,10:18,blank,18:37,08:32,17:57,14:28,09:16,blank,blank,blank,blank,blank,blank
17:02,blank,blank,13:47,10:38,blank,18:37,08:38,18:28,14:33,09:40,blank,blank,blank,blank,blank,blank
17:12,blank,blank,13:53,10:47,blank,18:58,08:48,18:52,15:19,09:45,blank,blank,blank,blank,blank,blank
17:22,blank,blank,14:29,11:33,blank,19:41,08:54,19:34,15:32,09:52,blank,blank,blank,blank,blank,blank
17:38,blank,blank,14:35,11:42,blank,19:50,08:55,19:41,15:54,10:02,blank,blank,blank,blank,blank,blank
17:38,blank,blank,14:35,11:42,blank,19:50,08:55,19:41,15:54,10:02,blank,blank,blank,blank,blank,blank
18:13,blank,blank,14:42,11:53,blank,19:58,09:00,20:28,16:08,10:13,blank,blank,blank,blank,blank,blank
19:08,blank,blank,14:54,11:55,blank,20:33,09:02,20:43,16:42,10:16,blank,blank,blank,blank,blank,blank
19:13,blank,blank,15:02,12:19,blank,21:37,09:13,20:58,16:51,10:40,blank,blank,blank,blank,blank,blank
19:47,blank,blank,15:24,12:36,blank,22:13,09:16,21:37,17:29,10:50,blank,blank,blank,blank,blank,blank
20:26,blank,blank,15:24,13:38,blank,22:52,09:19,22:32,17:34,10:58,blank,blank,blank,blank,blank,blank
21:03,blank,blank,15:38,14:01,blank,23:07,09:28,22:46,17:52,11:02,blank,blank,blank,blank,blank,blank
21:28,blank,blank,15:48,14:01,blank,blank,09:40,blank,18:02,11:03,blank,blank,blank,blank,blank,blank
21:53,blank,blank,17:12,14:07,blank,blank,09:45,blank,18:18,11:21,blank,blank,blank,blank,blank,blank
22:08,blank,blank,17:17,14:18,blank,blank,09:52,blank,18:28,11:28,blank,blank,blank,blank,blank,blank
22:08,blank,blank,17:17,14:18,blank,blank,09:52,blank,18:28,11:28,blank,blank,blank,blank,blank,blank
22:22,blank,blank,17:22,14:42,blank,blank,10:02,blank,18:52,11:35,blank,blank,blank,blank,blank,blank
22:52,blank,blank,17:31,14:54,blank,blank,10:08,blank,18:58,11:47,blank,blank,blank,blank,blank,blank
23:23,blank,blank,17:38,15:07,blank,blank,10:13,blank,19:17,11:59,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:05,15:12,blank,blank,10:16,blank,19:26,12:03,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:13,15:18,blank,blank,10:28,blank,19:34,12:07,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:22,15:24,blank,blank,10:28,blank,20:08,12:50,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:32,15:24,blank,blank,10:39,blank,20:14,13:03,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:40,15:38,blank,blank,10:40,blank,20:20,13:08,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:52,15:53,blank,blank,10:50,blank,20:33,13:14,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:52,15:53,blank,blank,10:50,blank,20:33,13:14,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:57,16:02,blank,blank,10:58,blank,20:53,13:18,blank,blank,blank,blank,blank,blank
blank,blank,blank,19:13,17:02,blank,blank,11:02,blank,21:08,13:26,blank,blank,blank,blank,blank,blank
blank,blank,blank,19:18,17:31,blank,blank,11:03,blank,21:56,13:33,blank,blank,blank,blank,blank,blank
blank,blank,blank,19:39,17:38,blank,blank,11:08,blank,22:03,13:34,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:43,17:50,blank,blank,11:21,blank,22:25,13:44,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:43,17:53,blank,blank,11:28,blank,22:32,13:57,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:03,17:58,blank,blank,11:35,blank,23:02,14:03,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:11,18:32,blank,blank,11:47,blank,23:33,14:09,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:17,18:40,blank,blank,11:53,blank,blank,14:23,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:17,18:40,blank,blank,11:53,blank,blank,14:23,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:42,18:44,blank,blank,11:59,blank,blank,14:28,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:53,19:13,blank,blank,12:03,blank,blank,14:33,blank,blank,blank,blank,blank,blank
blank,blank,blank,22:17,19:18,blank,blank,12:07,blank,blank,14:46,blank,blank,blank,blank,blank,blank
blank,blank,blank,22:22,19:39,blank,blank,12:44,blank,blank,14:52,blank,blank,blank,blank,blank,blank
blank,blank,blank,22:31,19:47,blank,blank,12:50,blank,blank,15:02,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:01,19:52,blank,blank,13:03,blank,blank,15:13,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:01,20:12,blank,blank,13:08,blank,blank,15:14,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:51,20:15,blank,blank,13:14,blank,blank,15:19,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:56,20:20,blank,blank,13:18,blank,blank,15:32,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:56,20:20,blank,blank,13:18,blank,blank,15:32,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,20:26,blank,blank,13:26,blank,blank,15:49,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,20:33,blank,blank,13:33,blank,blank,15:49,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,20:43,blank,blank,13:34,blank,blank,15:54,blank,blank,blank,blank,blank,blank
