Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
05:50,05:50,05:50,05:50,05:35,04:25,06:00,blank,06:58,00:17,00:17,blank,blank,blank,blank,blank,blank
06:19,06:19,06:19,06:00,06:10,05:35,06:40,blank,07:12,06:58,00:27,blank,blank,blank,blank,blank,blank
06:50,06:50,07:40,06:35,06:19,05:50,06:50,blank,07:24,07:12,00:33,blank,blank,blank,blank,blank,blank
07:40,08:56,08:31,06:40,06:35,06:00,07:06,blank,08:12,07:24,01:52,blank,blank,blank,blank,blank,blank
08:10,09:50,10:05,06:50,06:40,06:10,07:32,blank,08:23,07:49,06:58,blank,blank,blank,blank,blank,blank
08:31,10:30,11:00,07:06,06:50,06:19,07:40,blank,09:10,08:05,07:05,blank,blank,blank,blank,blank,blank
08:56,11:36,13:06,07:32,07:06,06:30,07:50,blank,09:44,08:12,07:12,blank,blank,blank,blank,blank,blank
09:20,13:30,14:25,08:10,07:25,06:30,08:01,blank,09:59,08:23,07:24,blank,blank,blank,blank,blank,blank
09:50,15:00,15:20,08:26,07:32,06:35,08:01,blank,10:48,08:54,07:31,blank,blank,blank,blank,blank,blank
10:05,15:20,16:56,08:31,07:40,06:36,08:10,blank,11:31,09:00,07:43,blank,blank,blank,blank,blank,blank
10:05,15:20,16:56,08:31,07:40,06:36,08:10,blank,11:31,09:00,07:43,blank,blank,blank,blank,blank,blank
10:30,16:25,17:30,08:40,08:01,06:40,08:40,blank,11:49,09:38,07:49,blank,blank,blank,blank,blank,blank
11:00,16:40,18:30,09:01,08:01,06:50,09:01,blank,12:33,09:44,08:05,blank,blank,blank,blank,blank,blank
11:26,17:30,20:20,09:20,08:10,07:06,09:40,blank,12:49,09:59,08:12,blank,blank,blank,blank,blank,blank
11:36,18:20,20:46,09:56,08:31,07:15,11:17,blank,13:49,10:48,08:23,blank,blank,blank,blank,blank,blank
13:06,19:00,21:26,10:45,08:40,07:25,11:26,blank,14:00,11:31,08:32,blank,blank,blank,blank,blank,blank
13:30,19:45,blank,10:51,08:56,07:32,11:50,blank,14:43,11:44,08:43,blank,blank,blank,blank,blank,blank
13:52,20:20,blank,11:26,09:29,07:35,12:50,blank,14:57,11:49,08:54,blank,blank,blank,blank,blank,blank
14:20,20:46,blank,11:36,09:35,07:38,12:58,blank,15:19,12:26,09:00,blank,blank,blank,blank,blank,blank
14:25,21:40,blank,11:45,09:56,07:40,13:06,blank,16:18,12:33,09:10,blank,blank,blank,blank,blank,blank
14:25,21:40,blank,11:45,09:56,07:40,13:06,blank,16:18,12:33,09:10,blank,blank,blank,blank,blank,blank
15:00,23:26,blank,11:45,10:05,07:50,13:13,blank,16:35,12:45,09:14,blank,blank,blank,blank,blank,blank
15:20,blank,blank,12:50,10:51,08:01,13:13,blank,17:18,12:49,09:21,blank,blank,blank,blank,blank,blank
15:44,blank,blank,12:58,11:00,08:01,13:30,blank,17:48,13:49,09:29,blank,blank,blank,blank,blank,blank
16:20,blank,blank,13:06,11:11,08:01,14:30,blank,17:58,14:12,09:38,blank,blank,blank,blank,blank,blank
16:25,blank,blank,13:47,11:36,08:10,14:50,blank,18:43,14:19,09:43,blank,blank,blank,blank,blank,blank
16:40,blank,blank,13:52,11:50,08:26,15:00,blank,19:14,15:14,09:44,blank,blank,blank,blank,blank,blank
16:56,blank,blank,14:00,12:50,08:31,16:25,blank,19:37,15:19,09:59,blank,blank,blank,blank,blank,blank
17:30,blank,blank,14:11,13:13,08:35,17:02,blank,20:20,16:02,10:02,blank,blank,blank,blank,blank,blank
18:20,blank,blank,14:20,13:13,08:40,17:10,blank,20:32,16:18,10:24,blank,blank,blank,blank,blank,blank
18:20,blank,blank,14:20,13:13,08:40,17:10,blank,20:32,16:18,10:24,blank,blank,blank,blank,blank,blank
18:30,blank,blank,14:42,13:13,08:55,17:17,blank,21:13,16:46,10:29,blank,blank,blank,blank,blank,blank
19:00,blank,blank,14:42,13:25,08:56,18:04,blank,21:28,16:54,10:31,blank,blank,blank,blank,blank,blank
19:45,blank,blank,14:50,13:30,09:01,18:20,blank,21:44,17:28,10:36,blank,blank,blank,blank,blank,blank
20:20,blank,blank,15:00,14:00,09:11,18:51,blank,22:26,17:37,10:48,blank,blank,blank,blank,blank,blank
20:46,blank,blank,16:25,14:11,09:20,19:00,blank,23:18,18:14,11:08,blank,blank,blank,blank,blank,blank
21:05,blank,blank,16:35,14:25,09:21,19:25,blank,23:33,18:25,11:12,blank,blank,blank,blank,blank,blank
21:26,blank,blank,16:40,14:30,09:29,19:32,blank,blank,18:37,11:31,blank,blank,blank,blank,blank,blank
21:40,blank,blank,16:49,14:42,09:35,20:10,blank,blank,18:54,11:36,blank,blank,blank,blank,blank,blank
22:10,blank,blank,16:56,14:42,09:40,21:05,blank,blank,19:04,11:44,blank,blank,blank,blank,blank,blank
22:10,blank,blank,16:56,14:42,09:40,21:05,blank,blank,19:04,11:44,blank,blank,blank,blank,blank,blank
22:42,blank,blank,17:17,14:42,09:50,21:12,blank,blank,19:14,11:49,blank,blank,blank,blank,blank,blank
23:26,blank,blank,17:30,14:50,09:56,21:44,blank,blank,19:37,12:07,blank,blank,blank,blank,blank,blank
23:50,blank,blank,17:40,15:10,10:05,21:51,blank,blank,19:48,12:12,blank,blank,blank,blank,blank,blank
blank,blank,blank,17:50,15:20,10:15,23:05,blank,blank,20:02,12:19,blank,blank,blank,blank,blank,blank
blank,blank,blank,17:58,16:20,10:25,blank,blank,blank,20:12,12:26,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:04,16:49,10:25,blank,blank,blank,20:20,12:33,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:15,16:56,10:29,blank,blank,blank,20:52,12:45,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:30,17:02,10:30,blank,blank,blank,20:59,12:47,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:36,17:10,10:40,blank,blank,blank,21:06,12:49,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:36,17:10,10:40,blank,blank,blank,21:06,12:49,blank,blank,blank,blank,blank,blank
blank,blank,blank,18:51,17:50,10:45,blank,blank,blank,21:23,13:49,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:01,17:58,10:51,blank,blank,blank,21:39,14:00,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:01,18:05,10:57,blank,blank,blank,21:53,14:05,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:20,18:30,11:00,blank,blank,blank,22:41,14:10,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:29,18:36,11:06,blank,blank,blank,22:49,14:12,blank,blank,blank,blank,blank,blank
blank,blank,blank,20:35,18:51,11:11,blank,blank,blank,23:11,14:19,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:00,19:00,11:17,blank,blank,blank,23:18,14:30,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:05,19:10,11:26,blank,blank,blank,23:49,14:33,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:35,19:25,11:34,blank,blank,blank,blank,14:43,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:35,19:25,11:34,blank,blank,blank,blank,14:43,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:40,19:32,11:36,blank,blank,blank,blank,14:57,blank,blank,blank,blank,blank,blank
blank,blank,blank,21:44,19:45,11:45,blank,blank,blank,blank,15:01,blank,blank,blank,blank,blank,blank
blank,blank,blank,22:19,19:50,11:45,blank,blank,blank,blank,15:09,blank,blank,blank,blank,blank,blank
blank,blank,blank,22:19,20:01,11:50,blank,blank,blank,blank,15:14,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:05,20:01,12:06,blank,blank,blank,blank,15:19,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:15,20:46,12:18,blank,blank,blank,blank,15:22,blank,blank,blank,blank,blank,blank
blank,blank,blank,23:40,21:12,12:44,blank,blank,blank,blank,15:32,blank,blank,blank,blank,blank,blank
