Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
05:20,05:20,06:20,05:20,05:20,blank,blank,blank,blank,blank,blank,06:07,05:20,05:20,blank,00:18,00:18
06:20,06:20,07:09,05:30,05:30,blank,blank,blank,blank,blank,blank,06:20,05:30,05:30,blank,03:22,03:22
07:09,07:09,10:44,06:20,06:07,blank,blank,blank,blank,blank,blank,07:50,06:07,06:07,blank,06:47,06:47
08:00,08:00,13:49,06:45,06:20,blank,blank,blank,blank,blank,blank,08:00,06:20,06:20,blank,07:04,06:56
08:39,08:39,15:55,07:09,07:50,blank,blank,blank,blank,blank,blank,11:20,06:45,07:50,blank,07:43,07:04
10:15,10:15,19:39,08:39,08:00,blank,blank,blank,blank,blank,blank,11:25,07:09,08:00,blank,08:17,07:43
10:44,13:00,22:00,09:05,09:05,blank,blank,blank,blank,blank,blank,14:29,07:50,08:05,blank,08:32,08:17
11:20,14:40,blank,09:05,09:05,blank,blank,blank,blank,blank,blank,14:40,08:00,08:39,blank,09:39,08:32
13:00,15:55,blank,10:44,10:15,blank,blank,blank,blank,blank,blank,15:02,08:05,09:05,blank,10:10,09:39
13:49,16:30,blank,11:25,11:05,blank,blank,blank,blank,blank,blank,16:30,08:39,09:05,blank,11:29,10:10
13:49,16:30,blank,11:25,11:05,blank,blank,blank,blank,blank,blank,16:30,08:39,09:05,blank,11:29,10:10
14:40,17:29,blank,11:40,11:40,blank,blank,blank,blank,blank,blank,16:39,09:05,09:05,blank,11:39,11:29
15:55,18:30,blank,13:49,13:35,blank,blank,blank,blank,blank,blank,16:39,09:05,09:44,blank,12:01,11:39
16:30,19:39,blank,14:40,13:49,blank,blank,blank,blank,blank,blank,18:30,09:44,10:44,blank,12:09,12:01
17:29,20:30,blank,16:30,14:29,blank,blank,blank,blank,blank,blank,18:40,09:51,11:25,blank,12:26,12:09
18:30,23:09,blank,16:39,16:30,blank,blank,blank,blank,blank,blank,19:39,10:15,11:58,blank,12:40,12:26
19:39,blank,blank,16:39,17:29,blank,blank,blank,blank,blank,blank,20:30,10:36,12:40,blank,14:10,12:40
20:30,blank,blank,17:34,17:54,blank,blank,blank,blank,blank,blank,20:40,10:44,13:35,blank,14:35,14:10
21:09,blank,blank,17:54,17:54,blank,blank,blank,blank,blank,blank,21:00,11:05,13:49,blank,14:48,14:28
22:00,blank,blank,17:54,18:25,blank,blank,blank,blank,blank,blank,21:09,11:20,14:29,blank,15:25,14:28
22:00,blank,blank,17:54,18:25,blank,blank,blank,blank,blank,blank,21:09,11:20,14:29,blank,15:25,14:28
23:09,blank,blank,17:54,18:30,blank,blank,blank,blank,blank,blank,22:00,11:25,14:40,blank,15:25,14:28
blank,blank,blank,18:30,18:40,blank,blank,blank,blank,blank,blank,blank,11:40,15:02,blank,15:50,14:35
blank,blank,blank,18:40,19:39,blank,blank,blank,blank,blank,blank,blank,11:58,16:30,blank,17:18,14:48
blank,blank,blank,20:30,20:30,blank,blank,blank,blank,blank,blank,blank,12:40,16:39,blank,17:55,15:25
blank,blank,blank,21:00,20:40,blank,blank,blank,blank,blank,blank,blank,13:00,16:39,blank,18:01,15:25
blank,blank,blank,21:31,21:09,blank,blank,blank,blank,blank,blank,blank,13:35,16:55,blank,18:41,15:50
blank,blank,blank,23:09,21:31,blank,blank,blank,blank,blank,blank,blank,13:49,17:34,blank,18:53,16:54
blank,blank,blank,blank,22:00,blank,blank,blank,blank,blank,blank,blank,14:29,17:44,blank,19:23,17:18
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:40,17:54,blank,19:38,17:55
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:40,17:54,blank,19:38,17:55
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,15:02,17:54,blank,19:49,18:01
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,15:55,18:30,blank,20:54,18:41
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:30,18:40,blank,21:19,18:53
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:39,19:24,blank,21:33,19:23
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:39,19:39,blank,22:28,19:38
