Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
05:54,05:54,06:54,05:54,05:54,blank,blank,blank,blank,blank,blank,06:45,blank,01:05,00:10,02:12,02:12
06:54,06:54,07:38,06:04,06:04,blank,blank,blank,blank,blank,blank,06:45,blank,02:12,02:12,06:12,06:12
07:38,07:38,11:20,06:25,06:45,blank,blank,blank,blank,blank,blank,06:54,blank,06:12,06:12,07:08,06:22
08:34,08:34,14:23,06:54,06:45,blank,blank,blank,blank,blank,blank,08:24,blank,06:22,06:22,07:42,07:08
09:14,09:14,16:24,07:15,06:54,blank,blank,blank,blank,blank,blank,08:34,blank,07:08,06:57,07:57,07:42
10:44,10:44,20:13,07:38,08:24,blank,blank,blank,blank,blank,blank,08:58,blank,07:32,07:08,09:04,07:57
11:20,13:29,22:35,08:58,08:34,blank,blank,blank,blank,blank,blank,11:49,blank,07:42,07:42,09:35,09:04
11:49,15:15,blank,09:14,08:58,blank,blank,blank,blank,blank,blank,11:59,blank,07:57,07:57,10:33,09:35
13:29,16:24,blank,09:39,09:05,blank,blank,blank,blank,blank,blank,13:38,blank,09:04,08:44,11:00,10:33
14:23,17:04,blank,09:39,09:39,blank,blank,blank,blank,blank,blank,15:03,blank,09:35,08:55,11:34,11:00
14:23,17:04,blank,09:39,09:39,blank,blank,blank,blank,blank,blank,15:03,blank,09:35,08:55,11:34,11:00
15:15,17:57,blank,09:39,09:39,blank,blank,blank,blank,blank,blank,15:15,blank,09:47,09:04,11:51,11:34
16:24,19:04,blank,11:20,10:44,blank,blank,blank,blank,blank,blank,15:45,blank,09:50,09:35,12:05,11:51
17:04,20:13,blank,11:59,11:34,blank,blank,blank,blank,blank,blank,15:45,blank,10:33,09:50,13:33,12:05
17:57,20:59,blank,12:16,12:16,blank,blank,blank,blank,blank,blank,16:38,blank,11:23,10:29,13:41,13:33
19:04,23:43,blank,12:16,12:16,blank,blank,blank,blank,blank,blank,17:04,blank,11:34,10:33,14:19,13:41
20:13,blank,blank,13:38,13:45,blank,blank,blank,blank,blank,blank,17:13,blank,11:51,11:00,14:43,13:53
20:59,blank,blank,13:45,14:09,blank,blank,blank,blank,blank,blank,17:13,blank,12:05,11:34,14:50,13:53
21:43,blank,blank,14:23,14:23,blank,blank,blank,blank,blank,blank,19:04,blank,12:33,11:45,14:50,14:19
22:35,blank,blank,14:38,14:38,blank,blank,blank,blank,blank,blank,19:14,blank,12:58,11:51,16:49,14:43
22:35,blank,blank,14:38,14:38,blank,blank,blank,blank,blank,blank,19:14,blank,12:58,11:51,16:49,14:43
23:43,blank,blank,15:15,15:03,blank,blank,blank,blank,blank,blank,19:42,blank,13:33,12:05,16:53,14:50
blank,blank,blank,16:45,15:20,blank,blank,blank,blank,blank,blank,20:13,blank,13:53,13:31,17:26,14:50
blank,blank,blank,17:04,16:38,blank,blank,blank,blank,blank,blank,20:59,blank,13:53,13:33,18:06,16:19
blank,blank,blank,17:13,16:45,blank,blank,blank,blank,blank,blank,21:14,blank,14:43,13:41,18:18,16:49
blank,blank,blank,17:13,17:04,blank,blank,blank,blank,blank,blank,21:29,blank,14:50,13:53,18:43,16:53
blank,blank,blank,18:16,17:57,blank,blank,blank,blank,blank,blank,21:43,blank,14:50,13:53,18:54,17:26
blank,blank,blank,18:16,18:30,blank,blank,blank,blank,blank,blank,22:35,blank,15:18,14:19,19:09,18:06
blank,blank,blank,18:30,18:30,blank,blank,blank,blank,blank,blank,blank,blank,15:48,14:43,20:13,18:18
blank,blank,blank,18:30,18:56,blank,blank,blank,blank,blank,blank,blank,blank,16:19,14:50,20:25,18:43
blank,blank,blank,18:30,18:56,blank,blank,blank,blank,blank,blank,blank,blank,16:19,14:50,20:25,18:43
blank,blank,blank,18:30,19:04,blank,blank,blank,blank,blank,blank,blank,blank,16:53,14:50,20:58,18:54
blank,blank,blank,19:04,19:14,blank,blank,blank,blank,blank,blank,blank,blank,17:04,15:18,21:32,19:09
blank,blank,blank,19:14,19:42,blank,blank,blank,blank,blank,blank,blank,blank,18:06,16:19,21:53,20:13
blank,blank,blank,20:26,20:13,blank,blank,blank,blank,blank,blank,blank,blank,18:18,16:39,21:53,20:25
blank,blank,blank,20:26,20:59,blank,blank,blank,blank,blank,blank,blank,blank,18:43,16:49,22:27,20:58
blank,blank,blank,20:59,21:14,blank,blank,blank,blank,blank,blank,blank,blank,19:22,16:53,23:43,21:32
blank,blank,blank,21:29,21:43,blank,blank,blank,blank,blank,blank,blank,blank,19:47,17:14,blank,21:53
blank,blank,blank,22:13,22:13,blank,blank,blank,blank,blank,blank,blank,blank,19:55,17:26,blank,21:53
blank,blank,blank,22:13,22:13,blank,blank,blank,blank,blank,blank,blank,blank,20:13,18:06,blank,22:27
blank,blank,blank,22:13,22:13,blank,blank,blank,blank,blank,blank,blank,blank,20:13,18:06,blank,22:27
blank,blank,blank,22:13,22:13,blank,blank,blank,blank,blank,blank,blank,blank,20:48,18:18,blank,23:43
blank,blank,blank,23:43,22:35,blank,blank,blank,blank,blank,blank,blank,blank,20:58,18:43,blank,blank
blank,blank,blank,blank,23:23,blank,blank,blank,blank,blank,blank,blank,blank,21:32,18:54,blank,blank
