Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
06:30,06:30,06:30,06:05,05:27,blank,blank,blank,blank,blank,blank,05:27,05:27,05:27,05:27,05:27,blank
08:00,08:00,10:05,06:30,07:10,blank,blank,blank,blank,blank,blank,07:10,06:05,07:10,06:05,06:05,blank
10:05,14:00,13:10,08:00,08:25,blank,blank,blank,blank,blank,blank,13:50,06:30,07:14,06:30,06:30,blank
13:10,16:50,19:00,08:25,08:25,blank,blank,blank,blank,blank,blank,14:00,07:10,08:00,07:10,07:10,blank
14:00,19:00,blank,08:25,11:00,blank,blank,blank,blank,blank,blank,14:25,07:14,08:25,07:14,07:14,blank
16:50,22:30,blank,10:05,12:55,blank,blank,blank,blank,blank,blank,16:00,08:00,08:25,08:00,08:00,blank
19:00,blank,blank,11:00,13:10,blank,blank,blank,blank,blank,blank,16:00,08:25,08:50,08:25,08:25,blank
20:30,blank,blank,13:10,13:50,blank,blank,blank,blank,blank,blank,18:00,08:25,10:05,08:25,08:25,blank
22:30,blank,blank,14:00,16:50,blank,blank,blank,blank,blank,blank,19:00,08:50,11:14,08:50,08:50,blank
blank,blank,blank,16:00,17:17,blank,blank,blank,blank,blank,blank,20:00,09:10,11:51,09:10,09:10,blank
blank,blank,blank,16:00,17:17,blank,blank,blank,blank,blank,blank,20:00,09:10,11:51,09:10,09:10,blank
blank,blank,blank,16:00,17:17,blank,blank,blank,blank,blank,blank,20:30,10:00,12:55,09:34,09:34,blank
blank,blank,blank,16:55,18:00,blank,blank,blank,blank,blank,blank,blank,10:05,13:10,10:00,10:05,blank
blank,blank,blank,17:17,19:00,blank,blank,blank,blank,blank,blank,blank,11:00,13:50,10:05,11:00,blank
blank,blank,blank,17:17,20:00,blank,blank,blank,blank,blank,blank,blank,11:14,14:00,11:00,11:14,blank
blank,blank,blank,18:00,20:30,blank,blank,blank,blank,blank,blank,blank,11:51,14:25,11:14,11:51,blank
blank,blank,blank,20:55,20:55,blank,blank,blank,blank,blank,blank,blank,12:55,15:55,11:51,12:55,blank
blank,blank,blank,22:30,blank,blank,blank,blank,blank,blank,blank,blank,13:10,16:00,12:55,13:10,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,13:50,16:00,13:10,13:50,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:00,16:55,13:50,14:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:00,16:55,13:50,14:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:25,17:00,14:00,15:55,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,15:55,17:17,14:25,16:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:00,17:17,15:55,16:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:00,18:00,16:00,16:50,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:50,18:45,16:00,16:55,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:55,19:00,16:50,17:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:00,19:35,16:55,18:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:17,20:00,17:00,18:30,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:17,20:30,17:17,18:45,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:17,20:30,17:17,18:45,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:17,20:55,17:17,19:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,18:00,22:30,18:00,19:35,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,18:45,23:00,18:30,20:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:00,blank,18:45,20:30,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:35,blank,19:00,22:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:00,blank,19:35,22:30,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:30,blank,20:00,23:00,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:55,blank,20:30,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:00,blank,20:55,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:00,blank,20:55,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:30,blank,22:00,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:00,blank,22:30,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:00,blank,blank
