Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
06:57,06:57,06:57,06:33,05:55,blank,blank,blank,blank,blank,blank,05:55,05:55,05:55,05:55,blank,00:29
08:27,08:27,10:32,06:57,07:38,blank,blank,blank,blank,blank,blank,07:38,06:33,07:38,06:33,blank,03:33
10:32,14:27,13:37,08:27,08:53,blank,blank,blank,blank,blank,blank,14:17,06:57,07:54,06:57,blank,06:58
13:37,17:17,19:27,08:53,08:53,blank,blank,blank,blank,blank,blank,14:27,07:38,08:27,07:38,blank,07:15
14:27,19:27,blank,08:53,11:28,blank,blank,blank,blank,blank,blank,16:27,07:54,08:53,07:54,blank,07:54
17:17,22:57,blank,10:32,13:23,blank,blank,blank,blank,blank,blank,16:27,08:27,08:53,08:27,blank,08:28
19:27,blank,blank,11:28,13:37,blank,blank,blank,blank,blank,blank,18:28,08:53,09:33,08:53,blank,08:43
20:57,blank,blank,13:37,14:17,blank,blank,blank,blank,blank,blank,19:27,08:53,10:32,08:53,blank,09:50
22:57,blank,blank,14:27,17:17,blank,blank,blank,blank,blank,blank,20:28,09:33,11:46,09:33,blank,10:21
blank,blank,blank,16:27,18:28,blank,blank,blank,blank,blank,blank,20:57,09:38,12:28,09:38,blank,11:40
blank,blank,blank,16:27,18:28,blank,blank,blank,blank,blank,blank,20:57,09:38,12:28,09:38,blank,11:40
blank,blank,blank,16:27,19:27,blank,blank,blank,blank,blank,blank,blank,10:32,13:23,10:20,blank,11:49
blank,blank,blank,17:22,20:28,blank,blank,blank,blank,blank,blank,blank,11:28,13:37,10:32,blank,12:12
blank,blank,blank,18:28,20:57,blank,blank,blank,blank,blank,blank,blank,11:46,14:17,11:28,blank,12:20
blank,blank,blank,22:57,blank,blank,blank,blank,blank,blank,blank,blank,12:28,14:27,11:46,blank,12:37
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,13:23,16:27,12:28,blank,12:51
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,13:37,16:27,13:23,blank,14:21
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:17,16:43,13:37,blank,14:45
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,14:27,17:22,14:17,blank,14:59
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:27,17:32,14:27,blank,15:36
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:27,17:32,14:27,blank,15:36
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:27,18:28,16:27,blank,15:36
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,16:43,19:12,16:27,blank,16:00
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:17,19:27,16:43,blank,17:29
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:22,20:15,17:17,blank,18:06
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:32,20:28,17:22,blank,18:11
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,18:28,20:57,17:32,blank,18:52
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:12,22:57,18:28,blank,19:04
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:27,23:38,19:12,blank,19:34
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:15,blank,19:17,blank,19:49
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:15,blank,19:17,blank,19:49
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:28,blank,19:27,blank,19:59
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:57,blank,20:15,blank,21:05
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:27,blank,20:28,blank,21:29
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:57,blank,20:57,blank,21:44
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:38,blank,22:27,blank,22:39
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:57,blank,22:39
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:38,blank,22:44
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,23:07
