Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
00:24,00:24,07:16,00:12,blank,00:21,06:56,06:09,06:09,06:09,06:09,08:04,05:44,05:44,05:44,05:44,05:44
06:21,06:21,07:28,06:11,blank,06:09,06:56,06:30,07:09,06:56,06:56,09:16,05:54,05:54,05:54,06:39,05:54
07:16,07:16,08:44,06:21,blank,06:30,08:15,06:30,08:09,07:09,07:09,09:24,05:54,06:39,06:39,07:14,06:39
07:28,07:28,09:29,06:31,blank,06:30,09:58,06:56,08:55,07:51,07:51,10:45,06:39,07:14,07:14,07:29,07:14
07:54,07:54,11:03,06:53,blank,06:56,10:22,06:56,10:22,07:56,07:56,11:10,07:05,07:29,07:29,09:06,07:29
08:44,09:08,11:58,07:28,blank,06:56,11:18,07:09,11:30,08:55,08:09,11:45,07:14,09:06,09:06,10:31,09:06
09:08,09:54,14:51,07:33,blank,07:09,13:46,07:51,13:46,10:22,08:15,14:54,07:29,09:16,09:16,11:23,10:31
09:14,11:12,15:24,07:44,blank,07:16,13:46,07:56,15:32,10:40,08:55,15:45,08:04,11:23,10:31,13:50,11:23
09:29,12:35,16:19,07:54,blank,07:51,17:45,08:09,16:15,11:18,09:58,16:04,09:06,13:25,11:10,16:20,13:25
09:54,14:34,17:54,08:10,blank,07:56,18:20,08:15,17:39,11:30,10:22,20:24,09:16,13:25,11:23,17:50,13:25
09:54,14:34,17:54,08:10,blank,07:56,18:20,08:15,17:39,11:30,10:22,20:24,09:16,13:25,11:23,17:50,13:25
11:03,16:19,19:29,08:36,blank,08:09,18:20,08:24,19:17,13:16,10:40,blank,09:24,13:25,13:25,18:26,13:25
11:12,17:38,20:46,09:14,blank,08:15,19:33,08:55,20:10,14:11,11:04,blank,10:31,14:50,13:25,19:56,13:50
11:58,18:24,21:45,09:29,blank,08:24,20:15,09:02,21:20,15:51,11:18,blank,10:45,15:45,13:50,20:24,15:45
