Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
0,20,0,20,6,57,100,100,0,8,0,8,6,8,6,8,6,8,6,8,6,8,6,13,6,13,6,27,6,13,6,27,6,27
6,35,6,35,7,42,100,100,6,18,6,8,6,44,6,18,8,43,6,38,6,33,7,52,6,27,7,17,6,27,7,17,7,17
6,57,6,57,8,15,100,100,6,18,6,18,6,44,6,18,9,38,6,44,6,38,10,33,6,53,8,54,7,17,8,54,8,54
7,42,7,42,9,43,100,100,6,27,6,18,7,28,6,33,10,39,7,38,6,44,10,57,7,17,10,7,8,54,10,7,10,7
8,8,8,8,11,57,100,100,6,44,6,33,9,44,6,38,11,18,7,44,7,28,11,33,7,52,11,28,10,7,10,19,10,19
8,15,8,15,14,18,100,100,6,44,6,38,10,43,6,44,11,39,8,43,7,38,12,48,8,54,14,13,10,19,11,28,11,28
9,28,9,51,15,5,100,100,6,53,6,44,11,3,6,44,12,39,9,38,7,44,12,57,10,7,14,13,10,57,12,57,12,57
9,43,12,49,18,7,100,100,7,17,6,44,11,6,7,23,12,43,10,28,8,43,12,57,10,19,15,32,11,28,14,13,14,13
9,51,16,1,18,39,100,100,7,34,7,23,12,43,7,28,13,32,10,39,9,38,15,32,10,33,17,22,12,48,14,13,14,13
10,27,16,13,19,43,100,100,7,38,7,28,13,45,7,38,14,9,11,6,10,24,15,52,10,47,18,39,12,57,17,22,15,32
10,27,16,13,19,43,100,100,7,38,7,28,13,45,7,38,14,9,11,6,10,24,15,52,10,47,18,39,12,57,17,22,15,32
