Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
5,20,5,20,6,20,5,20,5,20,100,100,100,100,100,100,100,100,100,100,100,100,6,7,5,20,5,20,100,100,0,18,0,18
6,20,6,20,7,9,5,30,5,30,100,100,100,100,100,100,100,100,100,100,100,100,6,20,5,30,5,30,100,100,3,22,3,22
7,9,7,9,10,44,6,20,6,7,100,100,100,100,100,100,100,100,100,100,100,100,7,50,6,7,6,7,100,100,6,47,6,47
8,0,8,0,13,49,6,45,6,20,100,100,100,100,100,100,100,100,100,100,100,100,8,0,6,20,6,20,100,100,7,4,6,56
8,39,8,39,15,55,7,9,7,50,100,100,100,100,100,100,100,100,100,100,100,100,11,20,6,45,7,50,100,100,7,43,7,4
10,15,10,15,19,39,8,39,8,0,100,100,100,100,100,100,100,100,100,100,100,100,11,25,7,9,8,0,100,100,8,17,7,43
10,44,13,0,22,0,9,5,9,5,100,100,100,100,100,100,100,100,100,100,100,100,14,29,7,50,8,5,100,100,8,32,8,17
11,20,14,40,100,100,9,5,9,5,100,100,100,100,100,100,100,100,100,100,100,100,14,40,8,0,8,39,100,100,9,39,8,32
13,0,15,55,100,100,10,44,10,15,100,100,100,100,100,100,100,100,100,100,100,100,15,2,8,5,9,5,100,100,10,10,9,39
13,49,16,30,100,100,11,25,11,5,100,100,100,100,100,100,100,100,100,100,100,100,16,30,8,39,9,5,100,100,11,29,10,10
13,49,16,30,100,100,11,25,11,5,100,100,100,100,100,100,100,100,100,100,100,100,16,30,8,39,9,5,100,100,11,29,10,10
14,40,17,29,100,100,11,40,11,40,100,100,100,100,100,100,100,100,100,100,100,100,16,39,9,5,9,5,100,100,11,39,11,29
15,55,18,30,100,100,13,49,13,35,100,100,100,100,100,100,100,100,100,100,100,100,16,39,9,5,9,44,100,100,12,1,11,39
16,30,19,39,100,100,14,40,13,49,100,100,100,100,100,100,100,100,100,100,100,100,18,30,9,44,10,44,100,100,12,9,12,1
17,29,20,30,100,100,16,30,14,29,100,100,100,100,100,100,100,100,100,100,100,100,18,40,9,51,11,25,100,100,12,26,12,9
18,30,23,9,100,100,16,39,16,30,100,100,100,100,100,100,100,100,100,100,100,100,19,39,10,15,11,58,100,100,12,40,12,26
19,39,100,100,100,100,16,39,17,29,100,100,100,100,100,100,100,100,100,100,100,100,20,30,10,36,12,40,100,100,14,10,12,40
20,30,100,100,100,100,17,34,17,54,100,100,100,100,100,100,100,100,100,100,100,100,20,40,10,44,13,35,100,100,14,35,14,10
21,9,100,100,100,100,17,54,17,54,100,100,100,100,100,100,100,100,100,100,100,100,21,0,11,5,13,49,100,100,14,48,14,28
22,0,100,100,100,100,17,54,18,25,100,100,100,100,100,100,100,100,100,100,100,100,21,9,11,20,14,29,100,100,15,25,14,28
22,0,100,100,100,100,17,54,18,25,100,100,100,100,100,100,100,100,100,100,100,100,21,9,11,20,14,29,100,100,15,25,14,28
23,9,100,100,100,100,17,54,18,30,100,100,100,100,100,100,100,100,100,100,100,100,22,0,11,25,14,40,100,100,15,25,14,28
