Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
6,30,6,30,6,30,6,5,5,27,100,100,100,100,100,100,100,100,100,100,100,100,5,27,5,27,5,27,5,27,5,27,100,100
8,0,8,0,10,5,6,30,7,10,100,100,100,100,100,100,100,100,100,100,100,100,7,10,6,5,7,10,6,5,6,5,100,100
10,5,14,0,13,10,8,0,8,25,100,100,100,100,100,100,100,100,100,100,100,100,13,50,6,30,7,14,6,30,6,30,100,100
13,10,16,50,19,0,8,25,8,25,100,100,100,100,100,100,100,100,100,100,100,100,14,0,7,10,8,0,7,10,7,10,100,100
14,0,19,0,100,100,8,25,11,0,100,100,100,100,100,100,100,100,100,100,100,100,14,25,7,14,8,25,7,14,7,14,100,100
16,50,22,30,100,100,10,5,12,55,100,100,100,100,100,100,100,100,100,100,100,100,16,0,8,0,8,25,8,0,8,0,100,100
19,0,100,100,100,100,11,0,13,10,100,100,100,100,100,100,100,100,100,100,100,100,16,0,8,25,8,50,8,25,8,25,100,100
20,30,100,100,100,100,13,10,13,50,100,100,100,100,100,100,100,100,100,100,100,100,18,0,8,25,10,5,8,25,8,25,100,100
22,30,100,100,100,100,14,0,16,50,100,100,100,100,100,100,100,100,100,100,100,100,19,0,8,50,11,14,8,50,8,50,100,100
100,100,100,100,100,100,16,0,17,17,100,100,100,100,100,100,100,100,100,100,100,100,20,0,9,10,11,51,9,10,9,10,100,100
100,100,100,100,100,100,16,0,17,17,100,100,100,100,100,100,100,100,100,100,100,100,20,0,9,10,11,51,9,10,9,10,100,100
100,100,100,100,100,100,16,0,17,17,100,100,100,100,100,100,100,100,100,100,100,100,20,30,10,0,12,55,9,34,9,34,100,100
100,100,100,100,100,100,16,55,18,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,5,13,10,10,0,10,5,100,100
100,100,100,100,100,100,17,17,19,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,0,13,50,10,5,11,0,100,100
100,100,100,100,100,100,17,17,20,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,14,14,0,11,0,11,14,100,100
100,100,100,100,100,100,18,0,20,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,51,14,25,11,14,11,51,100,100
100,100,100,100,100,100,20,55,20,55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,55,15,55,11,51,12,55,100,100
100,100,100,100,100,100,22,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,10,16,0,12,55,13,10,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,50,16,0,13,10,13,50,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,0,16,55,13,50,14,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,0,16,55,13,50,14,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,25,17,0,14,0,15,55,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,55,17,17,14,25,16,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,0,17,17,15,55,16,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,0,18,0,16,0,16,50,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,50,18,45,16,0,16,55,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,55,19,0,16,50,17,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,0,19,35,16,55,18,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,17,20,0,17,0,18,30,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,17,20,30,17,17,18,45,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,17,20,30,17,17,18,45,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,17,20,55,17,17,19,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,0,22,30,18,0,19,35,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,45,23,0,18,30,20,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,19,0,100,100,18,45,20,30,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,19,35,100,100,19,0,22,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,0,100,100,19,35,22,30,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,30,100,100,20,0,23,0,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,55,100,100,20,30,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22,0,100,100,20,55,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22,0,100,100,20,55,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22,30,100,100,22,0,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,23,0,100,100,22,30,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,23,0,100,100,100,100
