Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
6,57,6,57,6,57,6,33,5,55,100,100,100,100,100,100,100,100,100,100,100,100,5,55,5,55,5,55,5,55,100,100,0,29
8,27,8,27,10,32,6,57,7,38,100,100,100,100,100,100,100,100,100,100,100,100,7,38,6,33,7,38,6,33,100,100,3,33
10,32,14,27,13,37,8,27,8,53,100,100,100,100,100,100,100,100,100,100,100,100,14,17,6,57,7,54,6,57,100,100,6,58
13,37,17,17,19,27,8,53,8,53,100,100,100,100,100,100,100,100,100,100,100,100,14,27,7,38,8,27,7,38,100,100,7,15
14,27,19,27,100,100,8,53,11,28,100,100,100,100,100,100,100,100,100,100,100,100,16,27,7,54,8,53,7,54,100,100,7,54
17,17,22,57,100,100,10,32,13,23,100,100,100,100,100,100,100,100,100,100,100,100,16,27,8,27,8,53,8,27,100,100,8,28
19,27,100,100,100,100,11,28,13,37,100,100,100,100,100,100,100,100,100,100,100,100,18,28,8,53,9,33,8,53,100,100,8,43
20,57,100,100,100,100,13,37,14,17,100,100,100,100,100,100,100,100,100,100,100,100,19,27,8,53,10,32,8,53,100,100,9,50
22,57,100,100,100,100,14,27,17,17,100,100,100,100,100,100,100,100,100,100,100,100,20,28,9,33,11,46,9,33,100,100,10,21
100,100,100,100,100,100,16,27,18,28,100,100,100,100,100,100,100,100,100,100,100,100,20,57,9,38,12,28,9,38,100,100,11,40
100,100,100,100,100,100,16,27,18,28,100,100,100,100,100,100,100,100,100,100,100,100,20,57,9,38,12,28,9,38,100,100,11,40
100,100,100,100,100,100,16,27,19,27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,32,13,23,10,20,100,100,11,49
100,100,100,100,100,100,17,22,20,28,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,28,13,37,10,32,100,100,12,12
100,100,100,100,100,100,18,28,20,57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,46,14,17,11,28,100,100,12,20
100,100,100,100,100,100,22,57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,28,14,27,11,46,100,100,12,37
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,23,16,27,12,28,100,100,12,51
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,37,16,27,13,23,100,100,14,21
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,17,16,43,13,37,100,100,14,45
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,27,17,22,14,17,100,100,14,59
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,27,17,32,14,27,100,100,15,36
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,27,17,32,14,27,100,100,15,36
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,27,18,28,16,27,100,100,15,36
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,43,19,12,16,27,100,100,16,0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,17,19,27,16,43,100,100,17,29
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,22,20,15,17,17,100,100,18,6
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,32,20,28,17,22,100,100,18,11
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,28,20,57,17,32,100,100,18,52
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,19,12,22,57,18,28,100,100,19,4
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,19,27,23,38,19,12,100,100,19,34
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,15,100,100,19,17,100,100,19,49
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,15,100,100,19,17,100,100,19,49
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,28,100,100,19,27,100,100,19,59
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,57,100,100,20,15,100,100,21,5
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22,27,100,100,20,28,100,100,21,29
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22,57,100,100,20,57,100,100,21,44
