Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
0,24,0,24,7,16,0,12,100,100,0,21,6,56,6,9,6,9,6,9,6,9,8,4,5,44,5,44,5,44,5,44,5,44
6,21,6,21,7,28,6,11,100,100,6,9,6,56,6,30,7,9,6,56,6,56,9,16,5,54,5,54,5,54,6,39,5,54
7,16,7,16,8,44,6,21,100,100,6,30,8,15,6,30,8,9,7,9,7,9,9,24,5,54,6,39,6,39,7,14,6,39
7,28,7,28,9,29,6,31,100,100,6,30,9,58,6,56,8,55,7,51,7,51,10,45,6,39,7,14,7,14,7,29,7,14
7,54,7,54,11,3,6,53,100,100,6,56,10,22,6,56,10,22,7,56,7,56,11,10,7,5,7,29,7,29,9,6,7,29
8,44,9,8,11,58,7,28,100,100,6,56,11,18,7,9,11,30,8,55,8,9,11,45,7,14,9,6,9,6,10,31,9,6
9,8,9,54,14,51,7,33,100,100,7,9,13,46,7,51,13,46,10,22,8,15,14,54,7,29,9,16,9,16,11,23,10,31
9,14,11,12,15,24,7,44,100,100,7,16,13,46,7,56,15,32,10,40,8,55,15,45,8,4,11,23,10,31,13,50,11,23
9,29,12,35,16,19,7,54,100,100,7,51,17,45,8,9,16,15,11,18,9,58,16,4,9,6,13,25,11,10,16,20,13,25
9,54,14,34,17,54,8,10,100,100,7,56,18,20,8,15,17,39,11,30,10,22,20,24,9,16,13,25,11,23,17,50,13,25
9,54,14,34,17,54,8,10,100,100,7,56,18,20,8,15,17,39,11,30,10,22,20,24,9,16,13,25,11,23,17,50,13,25
11,3,16,19,19,29,8,36,100,100,8,9,18,20,8,24,19,17,13,16,10,40,100,100,9,24,13,25,13,25,18,26,13,25
11,12,17,38,20,46,9,14,100,100,8,15,19,33,8,55,20,10,14,11,11,4,100,100,10,31,14,50,13,25,19,56,13,50
11,58,18,24,21,45,9,29,100,100,8,24,20,15,9,2,21,20,15,51,11,18,100,100,10,45,15,45,13,50,20,24,15,45
12,35,19,38,22,24,9,33,100,100,8,55,21,20,9,11,22,15,16,25,11,30,100,100,11,0,17,50,14,50,21,24,16,20
14,34,20,3,23,9,9,45,100,100,8,57,23,51,9,58,100,100,17,45,13,16,100,100,11,10,20,20,15,45,21,24,17,50
14,51,20,42,100,100,10,6,100,100,9,2,100,100,10,11,100,100,19,0,13,46,100,100,11,23,20,24,16,4,23,15,18,26
15,24,20,46,100,100,10,6,100,100,9,11,100,100,10,11,100,100,19,9,14,6,100,100,11,45,21,24,16,20,100,100,19,56
16,19,21,32,100,100,10,54,100,100,9,58,100,100,10,22,100,100,19,17,14,11,100,100,13,4,21,24,17,50,100,100,20,24
17,18,21,45,100,100,11,49,100,100,10,11,100,100,10,40,100,100,19,50,14,45,100,100,13,25,23,0,18,26,100,100,21,24
17,18,21,45,100,100,11,49,100,100,10,11,100,100,10,40,100,100,19,50,14,45,100,100,13,25,23,0,18,26,100,100,21,24
17,38,100,100,100,100,12,35,100,100,10,11,100,100,11,4,100,100,20,15,15,32,100,100,13,25,23,15,19,56,100,100,21,24
17,54,100,100,100,100,12,43,100,100,10,22,100,100,11,18,100,100,20,51,15,51,100,100,13,50,100,100,20,20,100,100,23,15
18,24,100,100,100,100,12,43,100,100,10,40,100,100,11,30,100,100,22,8,16,15,100,100,14,50,100,100,20,24,100,100,100,100
19,29,100,100,100,100,13,55,100,100,11,4,100,100,11,35,100,100,22,15,16,25,100,100,14,54,100,100,21,24,100,100,100,100
19,38,100,100,100,100,14,51,100,100,11,18,100,100,13,16,100,100,100,100,17,39,100,100,15,45,100,100,21,24,100,100,100,100
20,3,100,100,100,100,14,58,100,100,11,30,100,100,13,21,100,100,100,100,17,45,100,100,16,4,100,100,23,0,100,100,100,100
20,42,100,100,100,100,15,2,100,100,11,35,100,100,13,35,100,100,100,100,19,0,100,100,16,20,100,100,23,15,100,100,100,100
20,46,100,100,100,100,15,5,100,100,12,45,100,100,13,46,100,100,100,100,19,9,100,100,17,50,100,100,100,100,100,100,100,100
21,32,100,100,100,100,15,10,100,100,13,16,100,100,13,46,100,100,100,100,19,17,100,100,18,26,100,100,100,100,100,100,100,100
21,32,100,100,100,100,15,10,100,100,13,16,100,100,13,46,100,100,100,100,19,17,100,100,18,26,100,100,100,100,100,100,100,100
21,45,100,100,100,100,15,40,100,100,13,21,100,100,13,46,100,100,100,100,19,33,100,100,18,26,100,100,100,100,100,100,100,100
22,19,100,100,100,100,15,40,100,100,13,35,100,100,14,6,100,100,100,100,19,50,100,100,19,56,100,100,100,100,100,100,100,100
22,24,100,100,100,100,15,54,100,100,13,46,100,100,14,11,100,100,100,100,20,10,100,100,20,20,100,100,100,100,100,100,100,100
23,9,100,100,100,100,17,38,100,100,13,46,100,100,14,45,100,100,100,100,20,15,100,100,20,24,100,100,100,100,100,100,100,100
23,39,100,100,100,100,17,47,100,100,14,6,100,100,15,32,100,100,100,100,20,51,100,100,21,24,100,100,100,100,100,100,100,100
100,100,100,100,100,100,17,54,100,100,14,11,100,100,15,51,100,100,100,100,21,20,100,100,21,24,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,0,100,100,14,45,100,100,15,56,100,100,100,100,22,8,100,100,23,0,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,48,100,100,14,47,100,100,15,56,100,100,100,100,22,15,100,100,23,15,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,56,100,100,15,32,100,100,16,15,100,100,100,100,22,26,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,56,100,100,15,32,100,100,16,15,100,100,100,100,22,26,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,29,100,100,15,51,100,100,16,25,100,100,100,100,23,24,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,34,100,100,15,56,100,100,17,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,38,100,100,15,56,100,100,17,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,45,100,100,16,15,100,100,17,39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,45,100,100,16,25,100,100,17,45,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,49,100,100,16,40,100,100,18,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,55,100,100,17,5,100,100,18,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,55,100,100,17,5,100,100,19,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,59,100,100,17,39,100,100,19,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,59,100,100,17,39,100,100,19,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,59,100,100,17,45,100,100,19,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,32,100,100,18,20,100,100,19,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,41,100,100,18,20,100,100,19,33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,41,100,100,18,46,100,100,19,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,47,100,100,19,0,100,100,20,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,9,100,100,20,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,17,100,100,20,51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,18,100,100,21,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,33,100,100,21,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,33,100,100,21,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,50,100,100,21,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,10,100,100,22,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,15,100,100,22,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,24,100,100,22,26,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
