Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
100,100,5,30,6,0,5,40,5,10,5,30,7,0,5,30,5,30,5,30,5,30,5,40,5,10,5,10,5,10,5,10,5,10
100,100,5,40,6,40,6,0,5,30,6,0,9,20,6,0,6,30,6,30,6,0,8,30,5,40,6,40,5,40,6,40,6,40
100,100,6,30,7,5,6,40,6,30,6,30,10,30,6,30,7,30,7,5,6,30,10,20,6,40,8,30,6,40,9,40,9,40
100,100,6,40,7,40,7,0,6,40,7,0,12,10,7,0,8,5,8,0,7,0,12,20,7,40,11,0,7,40,11,0,11,0
100,100,7,5,8,0,7,5,7,5,7,5,15,0,7,5,9,5,8,5,7,5,15,20,8,30,14,10,8,30,13,15,13,15
100,100,7,30,8,5,8,5,7,30,7,30,16,40,7,30,10,50,9,5,7,30,16,15,9,40,17,10,9,40,16,15,16,15
100,100,8,5,8,30,9,5,8,5,8,0,18,40,8,0,12,10,10,0,8,0,18,5,10,20,18,5,10,20,17,10,17,10
100,100,8,30,9,20,9,40,8,30,8,5,19,0,8,5,13,0,10,50,8,5,21,10,11,0,19,40,11,0,19,10,19,10
100,100,9,5,9,40,10,0,9,20,9,0,20,30,9,0,15,30,12,30,9,0,100,100,12,20,22,25,12,20,21,10,21,10
100,100,9,40,10,20,10,20,9,40,9,5,22,0,9,5,16,25,13,30,9,5,100,100,13,15,100,100,13,15,100,100,100,100
100,100,9,40,10,20,10,20,9,40,9,5,22,0,9,5,16,25,13,30,9,5,100,100,13,15,100,100,13,15,100,100,100,100
100,100,10,20,12,30,10,30,10,0,9,20,100,100,9,20,17,0,14,30,9,20,100,100,14,10,100,100,14,10,100,100,100,100
100,100,10,30,13,0,10,50,10,20,10,0,100,100,10,0,18,0,15,0,10,0,100,100,15,20,100,100,15,20,100,100,100,100
100,100,12,10,15,20,11,0,10,50,10,30,100,100,10,30,18,40,16,0,10,30,100,100,16,15,100,100,16,15,100,100,100,100
100,100,13,30,15,30,12,10,13,15,10,50,100,100,10,50,19,30,16,40,10,50,100,100,17,10,100,100,17,10,100,100,100,100
100,100,14,10,16,40,12,20,13,30,12,10,100,100,12,10,20,30,17,30,12,10,100,100,18,5,100,100,18,5,100,100,100,100
100,100,15,30,18,40,12,30,14,10,12,30,100,100,12,30,100,100,18,0,12,30,100,100,19,10,100,100,19,10,100,100,100,100
100,100,16,0,19,10,13,0,15,20,12,55,100,100,12,55,100,100,18,30,12,55,100,100,19,40,100,100,19,40,100,100,100,100
100,100,16,15,20,30,15,0,15,30,13,0,100,100,13,0,100,100,19,20,13,0,100,100,21,10,100,100,21,10,100,100,100,100
100,100,17,0,21,30,15,20,17,0,13,30,100,100,13,30,100,100,20,0,13,30,100,100,22,25,100,100,22,25,100,100,100,100
100,100,17,0,21,30,15,20,17,0,13,30,100,100,13,30,100,100,20,0,13,30,100,100,22,25,100,100,22,25,100,100,100,100
100,100,17,10,100,100,18,0,17,10,14,0,100,100,14,0,100,100,21,0,14,0,100,100,23,0,100,100,23,0,100,100,100,100
100,100,18,5,100,100,18,5,18,30,14,30,100,100,14,30,100,100,21,30,14,30,100,100,100,100,100,100,100,100,100,100,100,100
100,100,18,40,100,100,18,30,19,10,15,0,100,100,15,0,100,100,100,100,15,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,19,0,100,100,18,40,19,30,15,30,100,100,15,30,100,100,100,100,15,30,100,100,100,100,100,100,100,100,100,100,100,100
100,100,19,10,100,100,19,0,19,40,16,0,100,100,16,0,100,100,100,100,16,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,19,20,100,100,20,0,20,30,16,25,100,100,16,25,100,100,100,100,16,25,100,100,100,100,100,100,100,100,100,100,100,100
100,100,19,30,100,100,20,30,21,30,16,40,100,100,16,40,100,100,100,100,16,40,100,100,100,100,100,100,100,100,100,100,100,100
100,100,19,40,100,100,21,0,22,25,17,0,100,100,17,0,100,100,100,100,17,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,20,30,100,100,21,10,22,40,17,30,100,100,17,30,100,100,100,100,17,30,100,100,100,100,100,100,100,100,100,100,100,100
100,100,20,30,100,100,21,10,22,40,17,30,100,100,17,30,100,100,100,100,17,30,100,100,100,100,100,100,100,100,100,100,100,100
100,100,21,0,100,100,22,40,100,100,18,0,100,100,18,0,100,100,100,100,18,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,21,10,100,100,23,0,100,100,18,30,100,100,18,30,100,100,100,100,18,30,100,100,100,100,100,100,100,100,100,100,100,100
100,100,22,0,100,100,100,100,100,100,18,40,100,100,18,40,100,100,100,100,18,40,100,100,100,100,100,100,100,100,100,100,100,100
100,100,22,40,100,100,100,100,100,100,19,0,100,100,19,0,100,100,100,100,19,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,23,0,100,100,100,100,100,100,19,20,100,100,19,20,100,100,100,100,19,20,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,30,100,100,19,30,100,100,100,100,19,30,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,0,100,100,20,0,100,100,100,100,20,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,30,100,100,20,30,100,100,100,100,20,30,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,0,100,100,21,0,100,100,100,100,21,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,0,100,100,21,0,100,100,100,100,21,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,30,100,100,21,30,100,100,100,100,21,30,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,22,0,100,100,22,0,100,100,100,100,22,0,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,22,40,100,100,22,40,100,100,100,100,22,40,100,100,100,100,100,100,100,100,100,100,100,100
