Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,blank,KTX,KTX,KTX,KTX,KTX,KTX,KTX,SRT,SRT,KTX-산천,SRT,KTX-산천,KTX-산천
SRT,SRT,SRT,blank,KTX-산천,KTX,KTX-산천,KTX-산천,SRT,KTX,SRT,KTX,KTX-산천,SRT,KTX-산천,SRT,SRT
SRT,SRT,SRT,blank,KTX-산천,KTX-산천,KTX-산천,KTX-산천,SRT,KTX-산천,KTX,KTX-산천,KTX-산천,KTX,SRT,KTX,KTX
SRT,SRT,SRT,blank,KTX-산천,KTX-산천,SRT,SRT,KTX,KTX,KTX-산천,SRT,SRT,KTX-산천,KTX,KTX-산천,KTX-산천
SRT,SRT,SRT,blank,KTX-산천,SRT,KTX,KTX,SRT,SRT,SRT,KTX,KTX,SRT,KTX-산천,SRT,SRT
SRT,SRT,SRT,blank,KTX-산천,KTX,KTX,KTX-산천,KTX,SRT,KTX,SRT,KTX,KTX-산천,SRT,SRT,SRT
SRT,SRT,SRT,blank,KTX-산천,KTX-산천,SRT,KTX-산천,KTX,SRT,SRT,KTX-산천,KTX-산천,KTX-산천,SRT,KTX-산천,KTX-산천
SRT,SRT,SRT,blank,SRT,KTX-산천,KTX,KTX,SRT,SRT,SRT,KTX-산천,SRT,KTX,SRT,KTX-산천,KTX-산천
SRT,SRT,SRT,blank,KTX,KTX,SRT,SRT,SRT,KTX,SRT,KTX,KTX-산천,KTX-산천,SRT,KTX-산천,KTX-산천
SRT,SRT,SRT,blank,KTX,SRT,KTX,KTX,KTX,KTX,KTX,SRT,KTX-산천,SRT,KTX-산천,KTX-산천,KTX
SRT,SRT,SRT,blank,KTX,SRT,KTX,KTX,KTX,KTX,KTX,SRT,KTX-산천,SRT,KTX-산천,KTX-산천,KTX
SRT,SRT,SRT,blank,SRT,KTX,KTX,SRT,KTX-산천,SRT,SRT,KTX-산천,SRT,KTX,KTX-산천,KTX-산천,KTX-산천
SRT,SRT,blank,blank,KTX,SRT,SRT,SRT,KTX,KTX,KTX,KTX-산천,SRT,KTX-산천,KTX-산천,KTX-산천,KTX-산천
SRT,SRT,blank,blank,SRT,SRT,KTX,KTX-산천,SRT,KTX,KTX,SRT,KTX,KTX-산천,KTX,SRT,KTX-산천
SRT,SRT,blank,blank,KTX-산천,KTX-산천,SRT,SRT,KTX,SRT,SRT,KTX,SRT,KTX,SRT,KTX,SRT
SRT,SRT,blank,blank,KTX,SRT,KTX,KTX,SRT,KTX,KTX,KTX-산천,KTX-산천,blank,KTX-산천,blank,KTX
SRT,SRT,blank,blank,SRT,KTX,SRT,KTX,KTX,KTX-산천,SRT,SRT,KTX-산천,blank,SRT,blank,blank
SRT,SRT,blank,blank,SRT,KTX,SRT,SRT,SRT,SRT,KTX,blank,KTX-산천,blank,KTX,blank,blank
SRT,SRT,blank,blank,KTX-산천,SRT,KTX,KTX,blank,KTX,KTX,blank,KTX,blank,KTX-산천,blank,blank
SRT,blank,blank,blank,KTX-산천,KTX,KTX,KTX,blank,KTX,SRT,blank,KTX-산천,blank,KTX-산천,blank,blank
SRT,blank,blank,blank,KTX-산천,KTX,KTX,KTX,blank,KTX,SRT,blank,KTX-산천,blank,KTX-산천,blank,blank
SRT,blank,blank,blank,KTX,KTX,blank,KTX,blank,KTX,SRT,blank,KTX-산천,blank,KTX-산천,blank,blank
SRT,blank,blank,blank,SRT,KTX,blank,SRT,blank,SRT,SRT,blank,KTX-산천,blank,SRT,blank,blank
SRT,blank,blank,blank,KTX,SRT,blank,KTX,blank,KTX,KTX,blank,KTX-산천,blank,KTX,blank,blank
SRT,blank,blank,blank,SRT,KTX,blank,SRT,blank,SRT,KTX,blank,KTX,blank,SRT,blank,blank
SRT,blank,blank,blank,KTX-산천,SRT,blank,KTX-산천,blank,KTX,KTX-산천,blank,SRT,blank,blank,blank,blank
SRT,blank,blank,blank,KTX,KTX-산천,blank,KTX,blank,KTX,SRT,blank,KTX-산천,blank,blank,blank,blank
SRT,blank,blank,blank,KTX-산천,KTX,blank,KTX,blank,SRT,KTX,blank,KTX-산천,blank,blank,blank,blank
SRT,blank,blank,blank,KTX,KTX,blank,SRT,blank,KTX,KTX-산천,blank,SRT,blank,blank,blank,blank
SRT,blank,blank,blank,KTX,SRT,blank,SRT,blank,SRT,KTX,blank,KTX,blank,blank,blank,blank
SRT,blank,blank,blank,KTX,SRT,blank,SRT,blank,SRT,KTX,blank,KTX,blank,blank,blank,blank
SRT,blank,blank,blank,SRT,SRT,blank,SRT,blank,KTX,KTX,blank,KTX-산천,blank,blank,blank,blank
SRT,blank,blank,blank,SRT,SRT,blank,KTX,blank,KTX,SRT,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX,blank,KTX,blank,KTX,KTX,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX,blank,KTX,blank,blank,SRT,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX,blank,KTX-산천,blank,blank,KTX,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX-산천,blank,KTX,blank,blank,SRT,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,SRT,KTX,blank,SRT,blank,blank,KTX,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,SRT,blank,KTX,blank,blank,SRT,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,KTX,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,KTX,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,KTX-산천,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,KTX,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,SRT,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,KTX,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,SRT,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
