Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,KTX,SRT,blank,KTX,KTX,KTX,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,KTX,무궁화호,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,무궁화호,blank,KTX-산천,KTX-산천,KTX,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,KTX-산천,KTX,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,KTX,무궁화호,KTX,KTX-산천,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,무궁화호,blank,SRT,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,blank,KTX,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,blank,KTX,KTX-산천,SRT,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,KTX-산천,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,blank,KTX-산천,SRT,KTX-산천,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,blank,KTX-산천,SRT,KTX-산천,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,무궁화호,blank,KTX,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,무궁화호,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,blank,KTX,KTX-산천,KTX,SRT,ITX-새마을,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,KTX-산천,KTX,KTX-산천,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,blank,KTX-산천,SRT,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,누리로,blank,KTX-산천,KTX,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,KTX-산천,blank,KTX,KTX,KTX-산천,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,KTX-산천,blank,KTX,SRT,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,SRT,blank,KTX,ITX-새마을,KTX-산천,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,SRT,blank,KTX,ITX-새마을,KTX-산천,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,blank,SRT,무궁화호,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,blank,KTX,KTX,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,SRT,blank,SRT,SRT,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,blank,KTX,SRT,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,blank,KTX-산천,KTX,SRT,SRT,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,blank,KTX-산천,무궁화호,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,blank,KTX,KTX,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,blank,SRT,SRT,KTX,KTX-산천,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,blank,KTX,ITX-새마을,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,blank,KTX,ITX-새마을,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,blank,SRT,KTX,SRT,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,무궁화호,blank,KTX,무궁화호,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,blank,SRT,SRT,KTX,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,blank,KTX,무궁화호,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,blank,SRT,KTX-산천,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX-산천,blank,KTX-산천,KTX,KTX,KTX,ITX-새마을,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX-산천,blank,blank,KTX,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,blank,blank,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,blank,blank,KTX,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,blank,blank,KTX,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,blank,blank,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,blank,blank,KTX,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,blank,blank,무궁화호,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,무궁화호,blank,blank,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,blank,blank,KTX-산천,blank,KTX,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,blank,blank,KTX-산천,blank,KTX,ITX-새마을,blank,blank,blank,blank,blank,blank
