Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,SRT,blank,KTX,KTX
SRT,SRT,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX,KTX,blank,무궁화호,무궁화호
SRT,SRT,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,KTX-산천,blank,SRT,SRT
SRT,SRT,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,SRT,SRT,SRT,blank,무궁화호,KTX-산천
SRT,SRT,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX,KTX,blank,KTX-산천,무궁화호
SRT,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX,SRT,SRT,blank,KTX,KTX-산천
SRT,SRT,SRT,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,KTX,무궁화호,blank,SRT,KTX
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,SRT,SRT,blank,KTX-산천,SRT
SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,무궁화호,KTX-산천,blank,KTX,KTX-산천
SRT,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,SRT,SRT,KTX-산천,blank,SRT,KTX
SRT,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,SRT,SRT,KTX-산천,blank,SRT,KTX
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,KTX-산천,blank,무궁화호,SRT
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,무궁화호,blank,무궁화호,무궁화호
SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,SRT,무궁화호,SRT,blank,KTX-산천,무궁화호
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,KTX,blank,KTX,KTX-산천
SRT,SRT,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,SRT,SRT,ITX-새마을,blank,SRT,KTX
