Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,blank,무궁화호,SRT,무궁화호,무궁화호
SRT,SRT,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,blank,무궁화호,무궁화호,SRT,SRT
SRT,SRT,SRT,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,blank,SRT,SRT,KTX-산천,KTX-산천
SRT,SRT,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,blank,KTX-산천,KTX-산천,KTX,KTX-산천
SRT,SRT,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,SRT,blank,KTX-산천,SRT,SRT,KTX
SRT,SRT,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX,blank,무궁화호,KTX-산천,KTX-산천,SRT
SRT,SRT,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,SRT,blank,KTX,KTX,KTX,KTX-산천
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX,blank,SRT,SRT,무궁화호,KTX
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,blank,KTX-산천,SRT,SRT,무궁화호
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,blank,KTX,KTX,KTX-산천,SRT
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,blank,KTX,KTX,KTX-산천,SRT
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,blank,누리로,KTX-산천,KTX,KTX-산천
SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,blank,SRT,KTX,SRT,KTX
SRT,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,blank,무궁화호,SRT,ITX-새마을,SRT
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,blank,ITX-새마을,KTX,KTX-산천,ITX-새마을
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,blank,KTX-산천,무궁화호,SRT,KTX-산천
SRT,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,blank,KTX,SRT,무궁화호,KTX-산천
SRT,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,blank,SRT,KTX-산천,KTX-산천,KTX-산천
SRT,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,SRT,blank,무궁화호,SRT,KTX-산천,SRT
SRT,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,KTX,blank,무궁화호,KTX,KTX,무궁화호
SRT,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,KTX,blank,무궁화호,KTX,KTX,무궁화호
SRT,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX,blank,ITX-새마을,SRT,무궁화호,KTX-산천
blank,blank,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,blank,KTX-산천,SRT,SRT,KTX-산천
blank,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,SRT,blank,KTX-산천,ITX-새마을,KTX-산천,KTX
blank,blank,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,blank,무궁화호,KTX-산천,SRT,KTX
blank,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,KTX,blank,KTX-산천,KTX-산천,무궁화호,무궁화호
blank,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,SRT,blank,KTX-산천,KTX-산천,KTX-산천,SRT
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,blank,SRT,SRT,KTX,KTX-산천
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,무궁화호,무궁화호,SRT
blank,blank,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,SRT,무궁화호
blank,blank,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,SRT,무궁화호
blank,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,KTX-산천,KTX,KTX-산천
blank,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,SRT,ITX-새마을,KTX
blank,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,KTX,KTX-산천,무궁화호
blank,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,blank,blank,SRT,SRT,KTX-산천,SRT
blank,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,KTX,SRT,KTX
