Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,KTX,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,KTX-산천,KTX-산천,blank,KTX
SRT,SRT,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX,KTX,KTX,KTX,blank,무궁화호
SRT,SRT,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,SRT,무궁화호,SRT,blank,SRT
SRT,SRT,SRT,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,KTX,SRT,KTX,blank,무궁화호
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,무궁화호,KTX-산천,무궁화호,blank,KTX-산천
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,KTX-산천,SRT,blank,KTX
SRT,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,무궁화호,KTX-산천,blank,SRT
SRT,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,SRT,KTX-산천,blank,KTX-산천
SRT,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,무궁화호,ITX-새마을,무궁화호,blank,KTX
blank,blank,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,무궁화호,KTX-산천,blank,SRT
blank,blank,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,무궁화호,KTX-산천,blank,SRT
blank,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,blank,SRT,KTX,무궁화호,blank,무궁화호
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,SRT,blank,무궁화호
blank,blank,blank,KTX,SRT,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,KTX,KTX-산천,blank,KTX-산천
blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,SRT,ITX-새마을,blank,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,무궁화호,blank,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,KTX,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,무궁화호,SRT,blank,ITX-새마을
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,KTX,blank,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,ITX-새마을,SRT,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,ITX-새마을,SRT,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,KTX,KTX-산천,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,KTX,KTX-산천,blank,무궁화호
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,SRT,무궁화호,blank,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,무궁화호,SRT,blank,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,ITX-새마을,KTX-산천,KTX-산천,blank,무궁화호
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,SRT,ITX-새마을,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,SRT,KTX,blank,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,무궁화호,KTX,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,무궁화호,blank,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,무궁화호,blank,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,SRT,blank,무궁화호
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,무궁화호,blank,SRT
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,KTX-산천,blank,무궁화호
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,SRT,blank,KTX
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,KTX,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,KTX-산천
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,ITX-새마을
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT
