Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,KTX,blank,KTX,KTX-산천,SRT,SRT,SRT,SRT,KTX,SRT,SRT,SRT,SRT,SRT
SRT,SRT,SRT,KTX,blank,SRT,KTX-산천,KTX-산천,SRT,KTX-산천,KTX-산천,SRT,KTX-산천,KTX-산천,KTX-산천,KTX-산천,KTX-산천
SRT,SRT,SRT,SRT,blank,KTX-산천,KTX,KTX-산천,SRT,SRT,SRT,KTX,KTX-산천,KTX-산천,KTX-산천,KTX,KTX-산천
SRT,SRT,SRT,KTX,blank,KTX-산천,SRT,KTX-산천,SRT,KTX,KTX,KTX-산천,KTX-산천,KTX,KTX,SRT,KTX
SRT,SRT,SRT,KTX,blank,KTX-산천,KTX-산천,KTX-산천,KTX-산천,SRT,SRT,SRT,KTX-산천,SRT,SRT,KTX,SRT
SRT,SRT,SRT,SRT,blank,KTX-산천,KTX,SRT,SRT,SRT,SRT,KTX,KTX,KTX,KTX,SRT,KTX
SRT,SRT,SRT,KTX,blank,SRT,KTX-산천,KTX,KTX-산천,KTX-산천,KTX,KTX,SRT,SRT,SRT,KTX,SRT
SRT,SRT,SRT,KTX,blank,누리로,KTX-산천,SRT,KTX,SRT,SRT,KTX,KTX,KTX,SRT,SRT,KTX
SRT,SRT,SRT,SRT,blank,KTX,KTX,SRT,SRT,KTX,SRT,SRT,KTX,KTX-산천,SRT,KTX,KTX-산천
SRT,SRT,SRT,KTX,blank,SRT,KTX-산천,KTX,SRT,SRT,KTX-산천,KTX,SRT,KTX-산천,KTX,SRT,KTX-산천
SRT,SRT,SRT,KTX,blank,SRT,KTX-산천,KTX,SRT,SRT,KTX-산천,KTX,SRT,KTX-산천,KTX,SRT,KTX-산천
SRT,SRT,SRT,KTX,blank,SRT,KTX-산천,무궁화호,KTX,KTX,SRT,blank,KTX,KTX-산천,KTX-산천,KTX-산천,KTX-산천
SRT,SRT,SRT,SRT,blank,KTX,KTX,SRT,SRT,SRT,KTX,blank,SRT,SRT,KTX-산천,SRT,SRT
SRT,SRT,SRT,SRT,blank,무궁화호,KTX,KTX-산천,SRT,KTX,KTX,blank,KTX-산천,KTX,SRT,KTX,KTX
SRT,SRT,SRT,KTX,blank,SRT,SRT,KTX,KTX,KTX,SRT,blank,KTX-산천,SRT,SRT,KTX-산천,KTX
SRT,SRT,SRT,KTX,blank,무궁화호,KTX,SRT,blank,KTX,KTX,blank,SRT,SRT,KTX,KTX-산천,SRT
SRT,SRT,blank,KTX-산천,blank,KTX-산천,blank,KTX-산천,blank,KTX,KTX-산천,blank,KTX,KTX,SRT,KTX,KTX-산천
SRT,SRT,blank,KTX-산천,blank,KTX,blank,KTX-산천,blank,SRT,KTX,blank,KTX,KTX-산천,KTX,blank,SRT
SRT,SRT,blank,KTX,blank,SRT,blank,KTX-산천,blank,KTX,SRT,blank,KTX-산천,KTX-산천,SRT,blank,KTX
SRT,SRT,blank,KTX,blank,KTX-산천,blank,SRT,blank,KTX,KTX,blank,KTX-산천,SRT,KTX-산천,blank,KTX-산천
SRT,SRT,blank,KTX,blank,KTX-산천,blank,SRT,blank,KTX,KTX,blank,KTX-산천,SRT,KTX-산천,blank,KTX-산천
SRT,blank,blank,SRT,blank,KTX-산천,blank,KTX,blank,KTX,KTX,blank,KTX-산천,KTX,SRT,blank,KTX-산천
SRT,blank,blank,KTX-산천,blank,KTX-산천,blank,KTX,blank,KTX,KTX,blank,SRT,blank,SRT,blank,KTX
SRT,blank,blank,KTX-산천,blank,SRT,blank,SRT,blank,SRT,SRT,blank,SRT,blank,KTX,blank,blank
SRT,blank,blank,KTX,blank,KTX,blank,KTX-산천,blank,KTX,KTX,blank,KTX,blank,KTX-산천,blank,blank
SRT,blank,blank,SRT,blank,KTX,blank,KTX,blank,blank,SRT,blank,KTX,blank,KTX-산천,blank,blank
SRT,blank,blank,KTX,blank,SRT,blank,KTX,blank,blank,KTX,blank,SRT,blank,SRT,blank,blank
SRT,blank,blank,KTX,blank,KTX-산천,blank,KTX,blank,blank,KTX,blank,KTX,blank,KTX,blank,blank
SRT,blank,blank,KTX,blank,무궁화호,blank,KTX-산천,blank,blank,SRT,blank,SRT,blank,blank,blank,blank
SRT,blank,blank,KTX,blank,KTX,blank,KTX-산천,blank,blank,KTX,blank,KTX-산천,blank,blank,blank,blank
SRT,blank,blank,KTX,blank,KTX,blank,KTX-산천,blank,blank,KTX,blank,KTX-산천,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,blank,KTX,blank,KTX-산천,blank,blank,KTX,blank,KTX-산천,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,blank,KTX,blank,KTX,blank,blank,KTX,blank,SRT,blank,blank,blank,blank
SRT,blank,blank,KTX,blank,KTX-산천,blank,SRT,blank,blank,SRT,blank,SRT,blank,blank,blank,blank
SRT,blank,blank,SRT,blank,KTX-산천,blank,KTX,blank,blank,KTX,blank,KTX,blank,blank,blank,blank
SRT,blank,blank,KTX,blank,KTX,blank,KTX,blank,blank,KTX,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,SRT,blank,SRT,blank,KTX,blank,blank,SRT,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,KTX,blank,KTX,blank,KTX-산천,blank,blank,SRT,blank,SRT,blank,blank,blank,blank
blank,blank,blank,KTX,blank,무궁화호,blank,KTX-산천,blank,blank,KTX,blank,KTX,blank,blank,blank,blank
blank,blank,blank,KTX,blank,KTX,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,blank,KTX,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,blank,KTX-산천,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,blank,KTX-산천,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,blank,SRT,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,blank,누리로,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,blank,blank
