Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,KTX,KTX,KTX,KTX,KTX,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,SRT,SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,KTX,SRT,KTX,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,KTX,SRT,KTX,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,KTX,KTX,KTX,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,SRT,KTX,SRT,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,KTX,KTX,KTX,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,SRT,KTX,SRT,SRT,blank,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,SRT,KTX-산천,KTX,KTX,blank,KTX,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,SRT,blank,SRT,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,SRT,blank,SRT,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,SRT,blank,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,KTX,blank,KTX,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,SRT,blank,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,SRT,blank,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,blank,SRT,KTX,blank,KTX,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,SRT,blank,SRT,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,KTX,blank,KTX,blank,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,SRT,blank,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX,blank,KTX,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,KTX,blank,KTX,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,SRT,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX-산천,blank,KTX-산천,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
