Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,blank,SRT,SRT,SRT,SRT,SRT
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,SRT,SRT,SRT,SRT,blank,SRT,blank,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,SRT,SRT,blank,SRT,blank,SRT,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,SRT,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,SRT,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,SRT,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
