Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
07:12,07:12,07:12,07:12,07:03,blank,blank,blank,blank,blank,blank,blank,06:38,08:46,06:38,08:46,08:46
08:52,08:52,20:30,09:16,07:03,blank,blank,blank,blank,blank,blank,blank,08:21,09:31,08:37,13:22,13:22
12:07,15:34,22:53,12:17,07:12,blank,blank,blank,blank,blank,blank,blank,08:37,16:01,08:46,17:08,16:01
15:34,17:22,blank,13:56,08:42,blank,blank,blank,blank,blank,blank,blank,08:46,17:47,09:31,17:47,17:08
17:22,19:22,blank,15:34,08:52,blank,blank,blank,blank,blank,blank,blank,09:31,19:04,11:27,20:40,17:47
19:22,20:30,blank,17:22,09:16,blank,blank,blank,blank,blank,blank,blank,09:40,19:37,13:13,22:09,20:40
20:30,21:16,blank,17:31,15:21,blank,blank,blank,blank,blank,blank,blank,11:01,20:40,13:22,blank,22:09
21:16,blank,blank,17:31,16:56,blank,blank,blank,blank,blank,blank,blank,11:27,blank,16:01,blank,blank
22:01,blank,blank,19:22,17:22,blank,blank,blank,blank,blank,blank,blank,12:02,blank,16:21,blank,blank
22:53,blank,blank,19:32,19:22,blank,blank,blank,blank,blank,blank,blank,13:13,blank,17:08,blank,blank
22:53,blank,blank,19:32,19:22,blank,blank,blank,blank,blank,blank,blank,13:13,blank,17:08,blank,blank
blank,blank,blank,21:16,19:32,blank,blank,blank,blank,blank,blank,blank,13:22,blank,17:47,blank,blank
blank,blank,blank,21:47,20:00,blank,blank,blank,blank,blank,blank,blank,13:22,blank,19:04,blank,blank
blank,blank,blank,blank,20:30,blank,blank,blank,blank,blank,blank,blank,15:10,blank,19:37,blank,blank
blank,blank,blank,blank,21:16,blank,blank,blank,blank,blank,blank,blank,16:01,blank,20:40,blank,blank
blank,blank,blank,blank,21:33,blank,blank,blank,blank,blank,blank,blank,16:21,blank,22:09,blank,blank
blank,blank,blank,blank,22:01,blank,blank,blank,blank,blank,blank,blank,17:08,blank,22:17,blank,blank
blank,blank,blank,blank,22:53,blank,blank,blank,blank,blank,blank,blank,17:47,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,17:47,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:04,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:04,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:37,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,19:52,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,20:40,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:09,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,22:17,blank,blank,blank,blank
