Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
05:59,05:59,05:59,06:46,05:50,05:50,06:46,05:50,blank,07:16,07:16,blank,blank,blank,blank,blank,blank
07:20,08:36,07:20,08:06,05:59,05:59,07:20,05:59,blank,07:30,07:30,blank,blank,blank,blank,blank,blank
08:36,09:30,10:40,11:06,06:46,06:46,11:06,06:46,blank,07:42,07:42,blank,blank,blank,blank,blank,blank
09:30,15:01,12:46,12:46,07:06,07:06,12:46,07:06,blank,08:30,08:30,blank,blank,blank,blank,blank,blank
10:40,17:11,15:01,13:31,07:20,07:13,16:50,07:13,blank,08:41,08:41,blank,blank,blank,blank,blank,blank
11:06,19:25,16:36,16:36,08:36,07:20,19:05,07:20,blank,10:02,09:28,blank,blank,blank,blank,blank,blank
12:46,23:06,17:11,17:11,09:15,08:06,19:50,08:06,blank,10:17,10:02,blank,blank,blank,blank,blank,blank
13:31,blank,18:10,17:20,10:40,08:36,blank,08:36,blank,11:06,10:17,blank,blank,blank,blank,blank,blank
15:01,blank,21:06,17:56,10:51,09:15,blank,09:15,blank,11:49,11:06,blank,blank,blank,blank,blank,blank
16:36,blank,blank,18:10,13:05,09:30,blank,09:30,blank,12:07,11:49,blank,blank,blank,blank,blank,blank
16:36,blank,blank,18:10,13:05,09:30,blank,09:30,blank,12:07,11:49,blank,blank,blank,blank,blank,blank
17:11,blank,blank,20:15,14:50,10:40,blank,10:40,blank,12:51,12:07,blank,blank,blank,blank,blank,blank
18:10,blank,blank,20:41,15:01,10:51,blank,10:51,blank,13:07,12:51,blank,blank,blank,blank,blank,blank
19:25,blank,blank,21:16,16:36,11:06,blank,11:06,blank,14:07,13:07,blank,blank,blank,blank,blank,blank
21:06,blank,blank,22:55,16:50,12:46,blank,12:46,blank,15:37,14:07,blank,blank,blank,blank,blank,blank
23:06,blank,blank,blank,18:10,13:05,blank,13:05,blank,16:37,14:18,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,19:05,13:31,blank,13:31,blank,19:32,15:01,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,19:25,14:50,blank,14:50,blank,19:55,15:17,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,21:06,15:01,blank,15:01,blank,20:38,15:37,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,22:55,15:16,blank,15:16,blank,23:36,16:37,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,22:55,15:16,blank,15:16,blank,23:36,16:37,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,23:06,16:36,blank,16:36,blank,blank,16:53,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,16:50,blank,16:50,blank,blank,17:36,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:11,blank,17:11,blank,blank,18:06,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:20,blank,17:20,blank,blank,18:16,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,17:56,blank,17:56,blank,blank,19:02,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:10,blank,18:10,blank,blank,19:32,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,18:22,blank,18:22,blank,blank,19:55,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:05,blank,19:05,blank,blank,20:38,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:25,blank,19:25,blank,blank,20:50,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:25,blank,19:25,blank,blank,20:50,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:50,blank,19:50,blank,blank,21:31,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,20:15,blank,20:15,blank,blank,21:46,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,20:41,blank,20:41,blank,blank,22:01,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:06,blank,21:06,blank,blank,22:43,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:16,blank,21:16,blank,blank,23:36,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:06,blank,22:06,blank,blank,23:52,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:55,blank,22:55,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,23:06,blank,23:06,blank,blank,blank,blank,blank,blank,blank,blank,blank
