Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
blank,05:30,06:00,05:40,05:10,05:30,07:00,05:30,05:30,05:30,05:30,05:40,05:10,05:10,05:10,05:10,05:10
blank,05:40,06:40,06:00,05:30,06:00,09:20,06:00,06:30,06:30,06:00,08:30,05:40,06:40,05:40,06:40,06:40
blank,06:30,07:05,06:40,06:30,06:30,10:30,06:30,07:30,07:05,06:30,10:20,06:40,08:30,06:40,09:40,09:40
blank,06:40,07:40,07:00,06:40,07:00,12:10,07:00,08:05,08:00,07:00,12:20,07:40,11:00,07:40,11:00,11:00
blank,07:05,08:00,07:05,07:05,07:05,15:00,07:05,09:05,08:05,07:05,15:20,08:30,14:10,08:30,13:15,13:15
blank,07:30,08:05,08:05,07:30,07:30,16:40,07:30,10:50,09:05,07:30,16:15,09:40,17:10,09:40,16:15,16:15
blank,08:05,08:30,09:05,08:05,08:00,18:40,08:00,12:10,10:00,08:00,18:05,10:20,18:05,10:20,17:10,17:10
blank,08:30,09:20,09:40,08:30,08:05,19:00,08:05,13:00,10:50,08:05,21:10,11:00,19:40,11:00,19:10,19:10
blank,09:05,09:40,10:00,09:20,09:00,20:30,09:00,15:30,12:30,09:00,blank,12:20,22:25,12:20,21:10,21:10
blank,09:40,10:20,10:20,09:40,09:05,22:00,09:05,16:25,13:30,09:05,blank,13:15,blank,13:15,blank,blank
blank,09:40,10:20,10:20,09:40,09:05,22:00,09:05,16:25,13:30,09:05,blank,13:15,blank,13:15,blank,blank
blank,10:20,12:30,10:30,10:00,09:20,blank,09:20,17:00,14:30,09:20,blank,14:10,blank,14:10,blank,blank
blank,10:30,13:00,10:50,10:20,10:00,blank,10:00,18:00,15:00,10:00,blank,15:20,blank,15:20,blank,blank
blank,12:10,15:20,11:00,10:50,10:30,blank,10:30,18:40,16:00,10:30,blank,16:15,blank,16:15,blank,blank
blank,13:30,15:30,12:10,13:15,10:50,blank,10:50,19:30,16:40,10:50,blank,17:10,blank,17:10,blank,blank
blank,14:10,16:40,12:20,13:30,12:10,blank,12:10,20:30,17:30,12:10,blank,18:05,blank,18:05,blank,blank
blank,15:30,18:40,12:30,14:10,12:30,blank,12:30,blank,18:00,12:30,blank,19:10,blank,19:10,blank,blank
blank,16:00,19:10,13:00,15:20,12:55,blank,12:55,blank,18:30,12:55,blank,19:40,blank,19:40,blank,blank
blank,16:15,20:30,15:00,15:30,13:00,blank,13:00,blank,19:20,13:00,blank,21:10,blank,21:10,blank,blank
blank,17:00,21:30,15:20,17:00,13:30,blank,13:30,blank,20:00,13:30,blank,22:25,blank,22:25,blank,blank
blank,17:00,21:30,15:20,17:00,13:30,blank,13:30,blank,20:00,13:30,blank,22:25,blank,22:25,blank,blank
blank,17:10,blank,18:00,17:10,14:00,blank,14:00,blank,21:00,14:00,blank,23:00,blank,23:00,blank,blank
blank,18:05,blank,18:05,18:30,14:30,blank,14:30,blank,21:30,14:30,blank,blank,blank,blank,blank,blank
blank,18:40,blank,18:30,19:10,15:00,blank,15:00,blank,blank,15:00,blank,blank,blank,blank,blank,blank
blank,19:00,blank,18:40,19:30,15:30,blank,15:30,blank,blank,15:30,blank,blank,blank,blank,blank,blank
blank,19:10,blank,19:00,19:40,16:00,blank,16:00,blank,blank,16:00,blank,blank,blank,blank,blank,blank
blank,19:20,blank,20:00,20:30,16:25,blank,16:25,blank,blank,16:25,blank,blank,blank,blank,blank,blank
blank,19:30,blank,20:30,21:30,16:40,blank,16:40,blank,blank,16:40,blank,blank,blank,blank,blank,blank
blank,19:40,blank,21:00,22:25,17:00,blank,17:00,blank,blank,17:00,blank,blank,blank,blank,blank,blank
blank,20:30,blank,21:10,22:40,17:30,blank,17:30,blank,blank,17:30,blank,blank,blank,blank,blank,blank
blank,20:30,blank,21:10,22:40,17:30,blank,17:30,blank,blank,17:30,blank,blank,blank,blank,blank,blank
blank,21:00,blank,22:40,blank,18:00,blank,18:00,blank,blank,18:00,blank,blank,blank,blank,blank,blank
blank,21:10,blank,23:00,blank,18:30,blank,18:30,blank,blank,18:30,blank,blank,blank,blank,blank,blank
blank,22:00,blank,blank,blank,18:40,blank,18:40,blank,blank,18:40,blank,blank,blank,blank,blank,blank
blank,22:40,blank,blank,blank,19:00,blank,19:00,blank,blank,19:00,blank,blank,blank,blank,blank,blank
blank,23:00,blank,blank,blank,19:20,blank,19:20,blank,blank,19:20,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,19:30,blank,19:30,blank,blank,19:30,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,20:00,blank,20:00,blank,blank,20:00,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,20:30,blank,20:30,blank,blank,20:30,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:00,blank,21:00,blank,blank,21:00,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:00,blank,21:00,blank,blank,21:00,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,21:30,blank,21:30,blank,blank,21:30,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:00,blank,22:00,blank,blank,22:00,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,22:40,blank,22:40,blank,blank,22:40,blank,blank,blank,blank,blank,blank
