Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
7,9,7,9,100,100,6,19,7,5,6,19,9,39,6,19,8,30,7,31,6,19,8,56,7,5,7,5,7,5,7,5,7,5
7,36,7,36,100,100,7,5,7,31,7,31,17,1,7,31,13,19,8,22,7,31,10,45,8,0,8,56,8,0,10,5,10,5
7,54,7,54,100,100,7,31,8,30,8,22,19,4,8,22,15,56,8,30,8,22,15,40,8,56,100,100,8,56,19,36,19,36
8,27,8,27,100,100,8,30,8,56,8,30,20,56,8,30,19,4,12,49,8,30,100,100,10,5,100,100,10,5,100,100,100,100
9,5,16,40,100,100,10,5,9,39,9,39,100,100,9,39,20,56,17,1,9,39,100,100,10,45,100,100,10,45,100,100,100,100
9,55,17,6,100,100,10,45,10,5,12,49,100,100,12,49,100,100,21,49,12,49,100,100,15,40,100,100,15,40,100,100,100,100
11,24,18,51,100,100,12,49,10,45,13,19,100,100,13,19,100,100,100,100,13,19,100,100,19,36,100,100,19,36,100,100,100,100
12,9,21,7,100,100,13,19,15,40,15,56,100,100,15,56,100,100,100,100,15,56,100,100,100,100,100,100,100,100,100,100,100,100
12,19,21,39,100,100,15,40,15,56,17,1,100,100,17,1,100,100,100,100,17,1,100,100,100,100,100,100,100,100,100,100,100,100
14,30,22,6,100,100,19,4,19,36,19,4,100,100,19,4,100,100,100,100,19,4,100,100,100,100,100,100,100,100,100,100,100,100
14,30,22,6,100,100,19,4,19,36,19,4,100,100,19,4,100,100,100,100,19,4,100,100,100,100,100,100,100,100,100,100,100,100
15,17,100,100,100,100,20,56,20,56,20,56,100,100,20,56,100,100,100,100,20,56,100,100,100,100,100,100,100,100,100,100,100,100
15,44,100,100,100,100,100,100,21,49,21,49,100,100,21,49,100,100,100,100,21,49,100,100,100,100,100,100,100,100,100,100,100,100
16,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
23,29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
