Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank,blank,SRT,KTX-산천,SRT,KTX-산천,KTX-산천
SRT,SRT,SRT,KTX,KTX-산천,blank,blank,blank,blank,blank,blank,blank,KTX,SRT,KTX,KTX-산천,KTX-산천
SRT,SRT,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,blank,KTX,KTX,KTX-산천,SRT,KTX
SRT,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,SRT,KTX-산천,SRT
SRT,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,blank,SRT,SRT,SRT,KTX,KTX-산천
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,blank,KTX,KTX,SRT,SRT,KTX
SRT,SRT,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,blank,KTX-산천,KTX,KTX-산천,blank,SRT
SRT,blank,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank
SRT,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,blank,KTX,blank,SRT,blank,blank
SRT,blank,blank,KTX,SRT,blank,blank,blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank
SRT,blank,blank,KTX,SRT,blank,blank,blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank
blank,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,KTX-산천,blank,blank
blank,blank,blank,KTX,KTX,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,SRT,blank,blank
blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank
blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,KTX,blank,KTX,blank,blank
blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank,blank,SRT,blank,SRT,blank,blank
blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,SRT,blank,KTX,blank,blank
blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank
