Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,KTX,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,KTX-산천,KTX-산천,KTX-산천,blank
SRT,SRT,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX,KTX,KTX,KTX,KTX,blank
SRT,SRT,SRT,SRT,KTX-산천,blank,blank,blank,blank,blank,blank,KTX,SRT,무궁화호,SRT,SRT,blank
SRT,SRT,SRT,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,KTX,SRT,KTX,KTX,blank
SRT,SRT,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,무궁화호,KTX-산천,무궁화호,무궁화호,blank
SRT,SRT,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX-산천,SRT,KTX-산천,SRT,SRT,blank
SRT,blank,blank,KTX-산천,SRT,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,무궁화호,KTX-산천,KTX-산천,blank
SRT,blank,blank,SRT,KTX,blank,blank,blank,blank,blank,blank,KTX,KTX-산천,SRT,KTX-산천,KTX-산천,blank
SRT,blank,blank,SRT,SRT,blank,blank,blank,blank,blank,blank,SRT,무궁화호,ITX-새마을,무궁화호,무궁화호,blank
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,무궁화호,KTX-산천,KTX-산천,blank
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,KTX-산천,KTX-산천,무궁화호,KTX-산천,KTX-산천,blank
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,blank,blank,blank,blank,SRT,KTX,KTX,무궁화호,무궁화호,blank
blank,blank,blank,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,blank,SRT,SRT,KTX,SRT,blank
